epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,474.794,1.74489,3.50604,1.67302,0.46395,0.10323,0.07483,0.04834,1.52399,2.54459,1.4675,0.0350081,0.00166577,0.00166577
2,962.687,1.42774,2.46562,1.36794,0.40182,0.2563,0.24196,0.16252,1.38425,1.93311,1.33053,0.0199878,0.00331212,0.00331212
3,1452.02,1.35462,2.07928,1.30941,0.48396,0.324,0.33084,0.22242,1.32813,1.68361,1.28472,0.004887,0.00487799,0.00487799
4,1942.62,1.31689,1.90469,1.28472,0.52631,0.3677,0.38032,0.25941,1.27965,1.54246,1.25184,0.00473024,0.00473024,0.00473024
5,2432.07,1.28694,1.79529,1.26285,0.55275,0.38435,0.40274,0.27688,1.24781,1.48002,1.22563,0.00452732,0.00452732,0.00452732
6,2921.15,1.2665,1.73298,1.25007,0.57009,0.39725,0.4224,0.29194,1.23327,1.43649,1.21342,0.00427509,0.00427509,0.00427509
7,3412.65,1.2499,1.68845,1.24031,0.57608,0.40465,0.43361,0.30159,1.22113,1.40728,1.20618,0.00397977,0.00397977,0.00397977
8,3901.07,1.23883,1.65188,1.23223,0.5879,0.40748,0.44084,0.30624,1.21549,1.3904,1.20205,0.00364863,0.00364863,0.00364863
9,4389.76,1.23004,1.62184,1.22718,0.59028,0.41232,0.44669,0.31078,1.20971,1.37637,1.19744,0.00328982,0.00328982,0.00328982
10,4881.21,1.21931,1.59173,1.22057,0.5861,0.41675,0.45012,0.31348,1.20612,1.36646,1.19472,0.00291218,0.00291218,0.00291218
11,5357.89,1.2478,1.50999,1.24705,0.58832,0.42149,0.45349,0.31611,1.20205,1.35903,1.19188,0.002525,0.002525,0.002525
12,5830.66,1.2347,1.47371,1.23675,0.58579,0.42661,0.4563,0.31832,1.19848,1.35223,1.18915,0.00213782,0.00213782,0.00213782
13,6305.24,1.22251,1.44374,1.2295,0.59231,0.42541,0.45878,0.32047,1.19524,1.34491,1.18673,0.00176018,0.00176018,0.00176018
14,6778.48,1.21017,1.41166,1.22116,0.59564,0.42433,0.46112,0.32237,1.19241,1.3392,1.18467,0.00140137,0.00140137,0.00140137
15,7252.04,1.20065,1.38474,1.21404,0.59539,0.42853,0.46349,0.32443,1.19026,1.33367,1.18277,0.00107023,0.00107023,0.00107023
16,7725.32,1.18761,1.35877,1.20688,0.589,0.43416,0.46596,0.3262,1.18807,1.32903,1.18115,0.000774911,0.000774911,0.000774911
17,8202.47,1.18073,1.33405,1.20043,0.59054,0.43684,0.46807,0.32779,1.18598,1.32356,1.1795,0.000522683,0.000522683,0.000522683
18,8678.46,1.17161,1.31608,1.19566,0.59897,0.43383,0.47008,0.32938,1.18463,1.31957,1.17825,0.000319759,0.000319759,0.000319759
19,9154.57,1.16591,1.30095,1.19291,0.59475,0.43679,0.47132,0.33044,1.18337,1.31646,1.17733,0.000171135,0.000171135,0.000171135
20,9626.22,1.16283,1.29113,1.18919,0.59648,0.43746,0.4722,0.33113,1.18286,1.31402,1.17655,8.04714e-05,8.04714e-05,8.04714e-05
