layer_name,ratio,out_before,out_after,GMACs_before,GMACs_after,MParams_before,MParams_after
model.0.conv,0.239300,16,13,3.259475,3.228755,2.616248,2.615300
model.1.conv,0.223200,32,25,3.228755,3.201875,2.615300,2.614250
model.10.cv2.conv,0.243300,256,194,3.201875,3.176356,2.614250,2.574508
model.13.cv2.conv,0.272500,128,94,3.176356,3.144750,2.574508,2.561418
model.16.cv2.conv,0.299600,64,45,3.144750,3.034458,2.561418,2.535977
model.17.conv,0.320300,64,44,3.034458,3.017370,2.535977,2.525297
model.19.cv2.conv,0.274400,128,93,3.017370,2.953138,2.525297,2.454912
model.2.cv2.conv,0.208400,64,51,2.953138,2.888908,2.454912,2.446787
model.20.conv,0.314800,128,88,2.888908,2.871404,2.446787,2.403027
model.22.cv2.conv,0.277900,256,185,2.871404,2.841556,2.403027,2.328406
model.23.cv2.0.0.conv,0.320900,64,44,2.841556,2.715860,2.328406,2.308766
model.23.cv2.0.1.conv,0.323600,64,44,2.715860,2.656852,2.308766,2.299546
model.23.cv2.1.0.conv,0.300500,64,45,2.656852,2.613866,2.299546,2.272680
model.23.cv2.1.1.conv,0.293200,64,46,2.613866,2.600330,2.272680,2.264220
model.23.cv2.2.0.conv,0.264100,64,48,2.600330,2.585981,2.264220,2.228348
model.23.cv2.2.1.conv,0.248500,64,49,2.585981,2.582999,2.228348,2.220893
model.23.cv3.0.0.1.conv,0.336700,80,54,2.582999,2.560369,2.220893,2.217357
model.23.cv3.0.1.1.conv,0.337300,80,54,2.560369,2.537905,2.217357,2.213847
model.23.cv3.1.0.1.conv,0.324700,80,55,2.537905,2.530545,2.213847,2.209247
model.23.cv3.1.1.1.conv,0.325500,80,54,2.530545,2.524887,2.209247,2.205711
model.23.cv3.2.0.1.conv,0.280200,80,58,2.524887,2.522458,2.205711,2.199639
model.23.cv3.2.1.1.conv,0.281900,80,58,2.522458,2.521235,2.199639,2.196581
model.3.conv,0.206600,64,51,2.521235,2.477638,2.196581,2.189769
model.4.cv2.conv,0.215000,128,101,2.477638,2.400051,2.189769,2.154318
model.5.conv,0.207800,128,102,2.400051,2.356870,2.154318,2.127330
model.6.cv2.conv,0.210900,128,102,2.356870,2.319555,2.127330,2.059080
model.7.conv,0.214400,256,202,2.319555,2.294175,2.059080,1.995630
model.8.cv2.conv,0.215600,256,201,2.294175,2.282889,1.995630,1.967415
model.9.cv2.conv,0.220300,256,200,2.282889,2.265664,1.967415,1.924351
