layer_name,ratio,out_before,out_after,GMACs_before,GMACs_after,MParams_before,MParams_after
model.0.conv,0.257800,16,12,3.259475,3.218515,2.616248,2.614984
model.1.conv,0.251100,32,24,3.218515,3.189638,2.614984,2.613856
model.10.cv2.conv,0.259400,256,190,3.189638,3.162473,2.613856,2.571550
model.13.cv2.conv,0.271400,128,94,3.162473,3.130866,2.571550,2.558460
model.16.cv2.conv,0.282600,64,46,3.130866,3.026380,2.558460,2.534358
model.17.conv,0.291200,64,46,3.026380,3.010742,2.534358,2.524584
model.19.cv2.conv,0.272200,128,94,3.010742,2.948345,2.524584,2.456210
model.2.cv2.conv,0.245000,64,49,2.948345,2.874233,2.456210,2.446835
model.20.conv,0.288900,128,92,2.874233,2.858350,2.446835,2.407127
model.22.cv2.conv,0.273700,256,186,2.858350,2.828922,2.407127,2.333557
model.23.cv2.0.0.conv,0.291400,64,46,2.828922,2.714758,2.333557,2.315719
model.23.cv2.0.1.conv,0.292500,64,46,2.714758,2.659578,2.315719,2.307097
model.23.cv2.1.0.conv,0.283000,64,46,2.659578,2.618595,2.307097,2.281483
model.23.cv2.1.1.conv,0.280000,64,47,2.618595,2.605566,2.281483,2.273340
model.23.cv2.2.0.conv,0.268000,64,47,2.605566,2.590260,2.273340,2.235073
model.23.cv2.2.1.conv,0.261600,64,48,2.590260,2.587136,2.235073,2.227265
model.23.cv3.0.0.1.conv,0.298000,80,57,2.587136,2.566970,2.227265,2.224114
model.23.cv3.0.1.1.conv,0.298200,80,57,2.566970,2.546656,2.224114,2.220940
model.23.cv3.1.0.1.conv,0.293000,80,57,2.546656,2.539848,2.220940,2.216685
model.23.cv3.1.1.1.conv,0.293300,80,57,2.539848,2.534770,2.216685,2.213511
model.23.cv3.2.0.1.conv,0.274600,80,59,2.534770,2.532443,2.213511,2.207694
model.23.cv3.2.1.1.conv,0.275300,80,58,2.532443,2.531211,2.207694,2.204614
model.3.conv,0.244300,64,49,2.531211,2.482635,2.204614,2.197024
model.4.cv2.conv,0.247700,128,97,2.482635,2.393554,2.197024,2.156321
model.5.conv,0.244800,128,97,2.393554,2.343854,2.156321,2.125259
model.6.cv2.conv,0.246000,128,97,2.343854,2.299363,2.125259,2.043884
model.7.conv,0.247500,256,193,2.299363,2.270887,2.043884,1.972694
model.8.cv2.conv,0.248000,256,193,2.270887,2.257960,1.972694,1.940375
model.9.cv2.conv,0.249900,256,193,2.257960,2.238581,1.940375,1.891928
