epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,467.276,1.73807,3.52355,1.65193,0.4911,0.09129,0.05752,0.03717,1.53868,2.60241,1.46838,0.0350081,0.00166577,0.00166577
2,945.641,1.43282,2.52117,1.36668,0.398,0.24083,0.22443,0.1496,1.38605,1.95438,1.32708,0.0199878,0.00331212,0.00331212
3,1428.85,1.35825,2.10382,1.30937,0.47122,0.32313,0.32021,0.21596,1.33165,1.6986,1.28849,0.004887,0.00487799,0.00487799
4,1911.49,1.32063,1.91986,1.28549,0.52326,0.36359,0.37619,0.25604,1.28505,1.55637,1.25138,0.00473024,0.00473024,0.00473024
5,2398.82,1.28954,1.81054,1.2652,0.54479,0.37915,0.39953,0.27402,1.24989,1.4827,1.22809,0.00452732,0.00452732,0.00452732
6,2884.97,1.26995,1.75119,1.2522,0.5651,0.39402,0.41581,0.28669,1.23185,1.44332,1.21334,0.00427509,0.00427509,0.00427509
7,3370.12,1.25306,1.70924,1.24297,0.56563,0.40146,0.42749,0.29664,1.22177,1.41529,1.20676,0.00397977,0.00397977,0.00397977
8,3859.34,1.24202,1.6725,1.2339,0.57728,0.40601,0.43352,0.30105,1.21448,1.3989,1.20056,0.00364863,0.00364863,0.00364863
9,4347.46,1.23267,1.64287,1.22907,0.58399,0.40809,0.43908,0.30574,1.20964,1.38701,1.19762,0.00328982,0.00328982,0.00328982
10,4837.69,1.22227,1.61053,1.22196,0.58589,0.4131,0.44261,0.30841,1.20574,1.37795,1.19469,0.00291218,0.00291218,0.00291218
11,5305.88,1.24914,1.52145,1.24786,0.59428,0.41159,0.44634,0.31131,1.20161,1.36838,1.19173,0.002525,0.002525,0.002525
12,5775.66,1.2367,1.48362,1.23777,0.59217,0.41451,0.45051,0.31433,1.19913,1.36124,1.18976,0.00213782,0.00213782,0.00213782
13,6243.26,1.2248,1.45232,1.22993,0.59771,0.41522,0.45317,0.31668,1.19582,1.35434,1.18766,0.00176018,0.00176018,0.00176018
14,6712.23,1.21151,1.42013,1.2215,0.59849,0.41586,0.45528,0.31905,1.19322,1.34892,1.18566,0.00140137,0.00140137,0.00140137
15,7180.54,1.20262,1.39278,1.21548,0.59035,0.417,0.45787,0.32125,1.19068,1.34405,1.18372,0.00107023,0.00107023,0.00107023
16,7648.6,1.18947,1.36685,1.2081,0.59102,0.42223,0.46044,0.32289,1.18833,1.33874,1.18188,0.000774911,0.000774911,0.000774911
17,8118.26,1.1824,1.34203,1.20163,0.59263,0.42549,0.46271,0.32452,1.18683,1.33452,1.18064,0.000522683,0.000522683,0.000522683
18,8588.77,1.1742,1.32424,1.19696,0.58945,0.42994,0.46459,0.32573,1.18539,1.33063,1.17933,0.000319759,0.000319759,0.000319759
19,9061.16,1.16756,1.30854,1.19351,0.58652,0.43427,0.46644,0.32719,1.18438,1.32723,1.17835,0.000171135,0.000171135,0.000171135
20,9534.76,1.16352,1.29884,1.18972,0.59025,0.43394,0.46791,0.32822,1.18385,1.32452,1.17744,8.04714e-05,8.04714e-05,8.04714e-05
