epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,481.858,1.75059,3.58153,1.66708,0.49792,0.07258,0.04516,0.02886,1.56655,2.69625,1.49911,0.0350081,0.00166577,0.00166577
2,978.53,1.44738,2.63639,1.38792,0.34897,0.18467,0.14468,0.0968,1.41268,2.14661,1.36172,0.0199878,0.00331212,0.00331212
3,1476.84,1.37586,2.25826,1.33,0.40538,0.26149,0.24883,0.16665,1.35113,1.84315,1.30647,0.004887,0.00487799,0.00487799
4,1975.15,1.33094,2.02166,1.29661,0.50501,0.32964,0.34259,0.23231,1.2968,1.62832,1.2639,0.00473024,0.00473024,0.00473024
5,2473.53,1.29752,1.87178,1.27341,0.54961,0.35415,0.3794,0.25869,1.26246,1.5354,1.24026,0.00452732,0.00452732,0.00452732
6,2975.8,1.27542,1.79647,1.25836,0.54973,0.37807,0.39889,0.27488,1.24048,1.47878,1.22231,0.00427509,0.00427509,0.00427509
7,3477.15,1.25787,1.74657,1.24807,0.55993,0.38841,0.41348,0.28583,1.22711,1.44591,1.21235,0.00397977,0.00397977,0.00397977
8,3977.58,1.24557,1.70439,1.23869,0.56377,0.3949,0.42207,0.29235,1.21941,1.42717,1.20664,0.00364863,0.00364863,0.00364863
9,4482.48,1.23716,1.67141,1.23376,0.57122,0.40212,0.42869,0.29765,1.21344,1.41175,1.20262,0.00328982,0.00328982,0.00328982
10,4988.38,1.22615,1.63882,1.22702,0.57462,0.40684,0.43315,0.3011,1.20921,1.40209,1.19968,0.00291218,0.00291218,0.00291218
11,5478.66,1.25426,1.54637,1.25362,0.57702,0.40929,0.43707,0.30475,1.20464,1.39167,1.19673,0.002525,0.002525,0.002525
12,5967.1,1.24017,1.50618,1.24249,0.58299,0.4114,0.44052,0.30747,1.20186,1.38317,1.1943,0.00213782,0.00213782,0.00213782
13,6454.74,1.2284,1.47197,1.23422,0.5869,0.41296,0.44402,0.31012,1.19929,1.37645,1.19221,0.00176018,0.00176018,0.00176018
14,6942.73,1.21552,1.43964,1.22659,0.58797,0.41494,0.44701,0.31243,1.19611,1.36941,1.18967,0.00140137,0.00140137,0.00140137
15,7430.75,1.20656,1.41221,1.22024,0.59449,0.41598,0.45038,0.31479,1.19402,1.36174,1.18782,0.00107023,0.00107023,0.00107023
16,7921.41,1.19323,1.3862,1.21281,0.59716,0.41768,0.45366,0.31701,1.19195,1.35504,1.18615,0.000774911,0.000774911,0.000774911
17,8409.56,1.18577,1.36187,1.20631,0.60373,0.41733,0.45631,0.31904,1.19001,1.34885,1.18439,0.000522683,0.000522683,0.000522683
18,8872.77,1.17767,1.34359,1.20157,0.60434,0.42017,0.45852,0.32083,1.18833,1.34343,1.18299,0.000319759,0.000319759,0.000319759
19,9332.29,1.17161,1.32758,1.19859,0.60415,0.42077,0.46019,0.32215,1.18687,1.33896,1.18177,0.000171135,0.000171135,0.000171135
20,9807.69,1.1679,1.3178,1.19481,0.60287,0.42341,0.4619,0.32363,1.18551,1.33517,1.18059,8.04714e-05,8.04714e-05,8.04714e-05
