layer_name,ratio,out_before,out_after,GMACs_before,GMACs_after,MParams_before,MParams_after
model.0.conv,0.050000,16,15,3.259475,3.249235,2.616248,2.615932
model.1.conv,0.050000,32,31,3.249235,3.244934,2.615932,2.615764
model.10.cv2.conv,0.050000,256,244,3.244934,3.239995,2.615764,2.608072
model.13.cv2.conv,0.050000,128,122,3.239995,3.234418,2.608072,2.605762
model.16.cv2.conv,0.050000,64,61,3.234418,3.217003,2.605762,2.601745
model.17.conv,0.050000,64,61,3.217003,3.213749,2.601745,2.599711
model.19.cv2.conv,0.050000,128,122,3.213749,3.202738,2.599711,2.587645
model.2.cv2.conv,0.050000,64,61,3.202738,3.187915,2.587645,2.585770
model.20.conv,0.050000,128,122,3.187915,3.184663,2.585770,2.577640
model.22.cv2.conv,0.050000,256,244,3.184663,3.179618,2.577640,2.565028
model.23.cv2.0.0.conv,0.050000,64,61,3.179618,3.157999,2.565028,2.561650
model.23.cv2.0.1.conv,0.050000,64,61,3.157999,3.146210,2.561650,2.559808
model.23.cv2.1.0.conv,0.050000,64,61,3.146210,3.138170,2.559808,2.554783
model.23.cv2.1.1.conv,0.050000,64,61,3.138170,3.135223,2.554783,2.552941
model.23.cv2.2.0.conv,0.050000,64,61,3.135223,3.131896,2.552941,2.544622
model.23.cv2.2.1.conv,0.050000,64,61,3.131896,3.131159,2.544622,2.542780
model.23.cv3.0.0.1.conv,0.050000,80,76,3.131159,3.127268,2.542780,2.542172
model.23.cv3.0.1.1.conv,0.050000,80,76,3.127268,3.123248,2.542172,2.541544
model.23.cv3.1.0.1.conv,0.050000,80,76,3.123248,3.121885,2.541544,2.540692
model.23.cv3.1.1.1.conv,0.050000,80,76,3.121885,3.120880,2.540692,2.540064
model.23.cv3.2.0.1.conv,0.050000,80,76,3.120880,3.120344,2.540064,2.538724
model.23.cv3.2.1.1.conv,0.050000,80,76,3.120344,3.120093,2.538724,2.538096
model.3.conv,0.050000,64,61,3.120093,3.108304,2.538096,2.536254
model.4.cv2.conv,0.050000,128,122,3.108304,3.091063,2.536254,2.528376
model.5.conv,0.050000,128,122,3.091063,3.079284,2.528376,2.521014
model.6.cv2.conv,0.050000,128,122,3.079284,3.070672,2.521014,2.505264
model.7.conv,0.050000,256,244,3.070672,3.064168,2.505264,2.489004
model.8.cv2.conv,0.050000,256,244,3.064168,3.061706,2.489004,2.482848
model.9.cv2.conv,0.050000,256,244,3.061706,3.058015,2.482848,2.473620
