layer_name,ratio,out_before,out_after,GMACs_before,GMACs_after,MParams_before,MParams_after
model.0.conv,0.246300,16,13,3.259475,3.228755,2.616248,2.615300
model.1.conv,0.235800,32,25,3.228755,3.201875,2.615300,2.614250
model.10.cv2.conv,0.248800,256,193,3.201875,3.175944,2.614250,2.573867
model.13.cv2.conv,0.267900,128,94,3.175944,3.144338,2.573867,2.560777
model.16.cv2.conv,0.285500,64,46,3.144338,3.039852,2.560777,2.536675
model.17.conv,0.299000,64,45,3.039852,3.023344,2.536675,2.526358
model.19.cv2.conv,0.269100,128,94,3.023344,2.960948,2.526358,2.457984
model.2.cv2.conv,0.226100,64,50,2.960948,2.891776,2.457984,2.449234
model.20.conv,0.295400,128,91,2.891776,2.875452,2.449234,2.408423
model.22.cv2.conv,0.271400,256,187,2.875452,2.846444,2.408423,2.335904
model.23.cv2.0.0.conv,0.299400,64,45,2.846444,2.725939,2.335904,2.317075
model.23.cv2.0.1.conv,0.301100,64,45,2.725939,2.668787,2.317075,2.308145
model.23.cv2.1.0.conv,0.286100,64,46,2.668787,2.627804,2.308145,2.282531
model.23.cv2.1.1.conv,0.281300,64,46,2.627804,2.614009,2.282531,2.273909
model.23.cv2.2.0.conv,0.262400,64,48,2.614009,2.599545,2.273909,2.237749
model.23.cv2.2.1.conv,0.252300,64,48,2.599545,2.596364,2.237749,2.229797
model.23.cv3.0.0.1.conv,0.309700,80,56,2.596364,2.575321,2.229797,2.226509
model.23.cv3.0.1.1.conv,0.310000,80,56,2.575321,2.554278,2.226509,2.223221
model.23.cv3.1.0.1.conv,0.301800,80,56,2.554278,2.547174,2.223221,2.218781
model.23.cv3.1.1.1.conv,0.302400,80,56,2.547174,2.541913,2.218781,2.215493
model.23.cv3.2.0.1.conv,0.272900,80,59,2.541913,2.539578,2.215493,2.209655
model.23.cv3.2.1.1.conv,0.274000,80,59,2.539578,2.538402,2.209655,2.206715
model.3.conv,0.225000,64,50,2.538402,2.492258,2.206715,2.199505
model.4.cv2.conv,0.230400,128,99,2.492258,2.408924,2.199505,2.161428
model.5.conv,0.225800,128,100,2.408924,2.363228,2.161428,2.132868
model.6.cv2.conv,0.227800,128,99,2.363228,2.321607,2.132868,2.056743
model.7.conv,0.230100,256,198,2.321607,2.294973,2.056743,1.990159
model.8.cv2.conv,0.230900,256,197,2.294973,2.282866,1.990159,1.959892
model.9.cv2.conv,0.233900,256,197,2.282866,2.264718,1.959892,1.914521
