layer_name,ratio,out_before,out_after,GMACs_before,GMACs_after,MParams_before,MParams_after
model.0.conv,0.234300,16,13,3.259475,3.228755,2.616248,2.615300
model.1.conv,0.213100,32,26,3.228755,3.205715,2.615300,2.614400
model.10.cv2.conv,0.239500,256,195,3.205715,3.180608,2.614400,2.575299
model.13.cv2.conv,0.278200,128,93,3.180608,3.148072,2.575299,2.561824
model.16.cv2.conv,0.314000,64,44,3.148072,3.031976,2.561824,2.535044
model.17.conv,0.341400,64,43,3.031976,3.014336,2.535044,2.524019
model.19.cv2.conv,0.280700,128,93,3.014336,2.950104,2.524019,2.453634
model.2.cv2.conv,0.193400,64,52,2.950104,2.890814,2.453634,2.446134
model.20.conv,0.334200,128,86,2.890814,2.872435,2.446134,2.400186
model.22.cv2.conv,0.285300,256,183,2.872435,2.841746,2.400186,2.323463
model.23.cv2.0.0.conv,0.342200,64,43,2.841746,2.710974,2.323463,2.303030
model.23.cv2.0.1.conv,0.345700,64,42,2.710974,2.647333,2.303030,2.293086
model.23.cv2.1.0.conv,0.315200,64,44,2.647333,2.602085,2.293086,2.264806
model.23.cv2.1.1.conv,0.305500,64,45,2.602085,2.588070,2.264806,2.256047
model.23.cv2.2.0.conv,0.267000,64,47,2.588070,2.572947,2.256047,2.218239
model.23.cv2.2.1.conv,0.246500,64,49,2.572947,2.570019,2.218239,2.210919
model.23.cv3.0.0.1.conv,0.363100,80,51,2.570019,2.544963,2.210919,2.207004
model.23.cv3.0.1.1.conv,0.363800,80,51,2.544963,2.520464,2.207004,2.203176
model.23.cv3.1.0.1.conv,0.347200,80,53,2.520464,2.512515,2.203176,2.198208
model.23.cv3.1.1.1.conv,0.348200,80,53,2.512515,2.506726,2.198208,2.194590
model.23.cv3.2.0.1.conv,0.288300,80,57,2.506726,2.504206,2.194590,2.188288
model.23.cv3.2.1.1.conv,0.290600,80,57,2.504206,2.502936,2.188288,2.185114
model.3.conv,0.191100,64,52,2.502936,2.462002,2.185114,2.178718
model.4.cv2.conv,0.202100,128,103,2.462002,2.390162,2.178718,2.145893
model.5.conv,0.192700,128,104,2.390162,2.349611,2.145893,2.120549
model.6.cv2.conv,0.196800,128,103,2.349611,2.313731,2.120549,2.054924
model.7.conv,0.201300,256,205,2.313731,2.289578,2.054924,1.994540
model.8.cv2.conv,0.203000,256,205,2.289578,2.279112,1.994540,1.968377
model.9.cv2.conv,0.209200,256,203,2.279112,2.262810,1.968377,1.927620
