epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,487.618,1.75503,3.57197,1.66609,0.53629,0.0638,0.04472,0.02817,1.56241,2.70188,1.50074,0.0350081,0.00166577,0.00166577
2,988.156,1.44909,2.63911,1.3871,0.31065,0.18805,0.14446,0.09609,1.41682,2.14542,1.36,0.0199878,0.00331212,0.00331212
3,1492.48,1.37649,2.24739,1.32666,0.42617,0.27415,0.26454,0.17704,1.34543,1.8177,1.29991,0.004887,0.00487799,0.00487799
4,1995.39,1.33007,1.9981,1.29353,0.51416,0.34045,0.35267,0.23892,1.29429,1.61007,1.25989,0.00473024,0.00473024,0.00473024
5,2500.75,1.2981,1.85878,1.27202,0.54391,0.36716,0.38392,0.26214,1.26082,1.52631,1.2389,0.00452732,0.00452732,0.00452732
6,3006.12,1.276,1.78597,1.2579,0.54849,0.38518,0.40436,0.27902,1.24148,1.47171,1.22103,0.00427509,0.00427509,0.00427509
7,3510.01,1.25817,1.7374,1.24766,0.56719,0.38966,0.41755,0.2882,1.22921,1.44198,1.21267,0.00397977,0.00397977,0.00397977
8,4017.97,1.24573,1.6954,1.2385,0.58021,0.3934,0.42589,0.29456,1.22001,1.42106,1.20725,0.00364863,0.00364863,0.00364863
9,4523.73,1.23652,1.66321,1.23258,0.57714,0.40037,0.43106,0.29889,1.21453,1.40785,1.20346,0.00328982,0.00328982,0.00328982
10,5027.98,1.22639,1.6308,1.2257,0.57348,0.40453,0.43546,0.30219,1.21115,1.39758,1.20035,0.00291218,0.00291218,0.00291218
11,5515.88,1.25385,1.54169,1.25294,0.58381,0.40537,0.4393,0.30565,1.20622,1.38803,1.19703,0.002525,0.002525,0.002525
12,6001.26,1.24037,1.50421,1.24218,0.5926,0.40583,0.44302,0.3086,1.20278,1.37996,1.19474,0.00213782,0.00213782,0.00213782
13,6486.04,1.22899,1.47055,1.23373,0.58221,0.41516,0.44625,0.31107,1.20023,1.37266,1.19281,0.00176018,0.00176018,0.00176018
14,6972.22,1.21544,1.43808,1.22619,0.58488,0.4158,0.44885,0.31303,1.19737,1.36576,1.19063,0.00140137,0.00140137,0.00140137
15,7457.66,1.206,1.41008,1.21943,0.5903,0.41699,0.4513,0.31517,1.19483,1.35901,1.18843,0.00107023,0.00107023,0.00107023
16,7942.05,1.19318,1.38283,1.21216,0.58835,0.42112,0.454,0.31739,1.1928,1.35269,1.18654,0.000774911,0.000774911,0.000774911
17,8425.55,1.18565,1.35804,1.20499,0.58716,0.42339,0.45626,0.31939,1.19035,1.34713,1.18448,0.000522683,0.000522683,0.000522683
18,8911.35,1.17744,1.34026,1.20045,0.58722,0.42546,0.45852,0.32114,1.18866,1.3421,1.18306,0.000319759,0.000319759,0.000319759
19,9395.71,1.17158,1.32468,1.19751,0.58079,0.43002,0.46043,0.32236,1.18668,1.3382,1.18127,0.000171135,0.000171135,0.000171135
20,9882.7,1.16729,1.31416,1.19349,0.57823,0.43151,0.46189,0.32347,1.18533,1.33473,1.18001,8.04714e-05,8.04714e-05,8.04714e-05
