layer_name,ratio,out_before,out_after,GMACs_before,GMACs_after,MParams_before,MParams_after
model.0.conv,0.251400,16,12,3.259475,3.218515,2.616248,2.614984
model.1.conv,0.243800,32,25,3.218515,3.193248,2.614984,2.613997
model.10.cv2.conv,0.253300,256,192,3.193248,3.166906,2.613997,2.572973
model.13.cv2.conv,0.267200,128,94,3.166906,3.135299,2.572973,2.559883
model.16.cv2.conv,0.280000,64,47,3.135299,3.036618,2.559883,2.537120
model.17.conv,0.289900,64,46,3.036618,3.020720,2.537120,2.527184
model.19.cv2.conv,0.268100,128,94,3.020720,2.958323,2.527184,2.458810
model.2.cv2.conv,0.236700,64,49,2.958323,2.884211,2.458810,2.449435
model.20.conv,0.287300,128,92,2.884211,2.868328,2.449435,2.409727
model.22.cv2.conv,0.269700,256,187,2.868328,2.839320,2.409727,2.337208
model.23.cv2.0.0.conv,0.290100,64,46,2.839320,2.724120,2.337208,2.319208
model.23.cv2.0.1.conv,0.291400,64,46,2.724120,2.668940,2.319208,2.310586
model.23.cv2.1.0.conv,0.280500,64,47,2.668940,2.630234,2.310586,2.286395
model.23.cv2.1.1.conv,0.277000,64,47,2.630234,2.616960,2.286395,2.278099
model.23.cv2.2.0.conv,0.263200,64,48,2.616960,2.602496,2.278099,2.241939
model.23.cv2.2.1.conv,0.255800,64,48,2.602496,2.599316,2.241939,2.233987
model.23.cv3.0.0.1.conv,0.297700,80,57,2.599316,2.579002,2.233987,2.230813
model.23.cv3.0.1.1.conv,0.297900,80,57,2.579002,2.558688,2.230813,2.227639
model.23.cv3.1.0.1.conv,0.291900,80,57,2.558688,2.551880,2.227639,2.223384
model.23.cv3.1.1.1.conv,0.292300,80,57,2.551880,2.546802,2.223384,2.220210
model.23.cv3.2.0.1.conv,0.270800,80,59,2.546802,2.544467,2.220210,2.214372
model.23.cv3.2.1.1.conv,0.271600,80,59,2.544467,2.543291,2.214372,2.211432
model.3.conv,0.235900,64,49,2.543291,2.494715,2.211432,2.203842
model.4.cv2.conv,0.239900,128,98,2.494715,2.408507,2.203842,2.164452
model.5.conv,0.236500,128,98,2.408507,2.359979,2.164452,2.134122
model.6.cv2.conv,0.237900,128,98,2.359979,2.316923,2.134122,2.055372
model.7.conv,0.239600,256,195,2.316923,2.289131,2.055372,1.985893
model.8.cv2.conv,0.240200,256,195,2.289131,2.276614,1.985893,1.954600
model.9.cv2.conv,0.242400,256,194,2.276614,2.257543,1.954600,1.906922
