layer_name,ratio,out_before,out_after,GMACs_before,GMACs_after,MParams_before,MParams_after
model.0.conv,0.022100,16,15,3.259475,3.249235,2.616248,2.615932
model.1.conv,0.001600,32,31,3.249235,3.244934,2.615932,2.615764
model.10.cv2.conv,0.027100,256,250,3.244934,3.242465,2.615764,2.611918
model.13.cv2.conv,0.064300,128,120,3.242465,3.235028,2.611918,2.608838
model.16.cv2.conv,0.098900,64,58,3.235028,3.200199,2.608838,2.600804
model.17.conv,0.125300,64,56,3.200199,3.191866,2.600804,2.595596
model.19.cv2.conv,0.066800,128,120,3.191866,3.177185,2.595596,2.579508
model.2.cv2.conv,0.000000,64,63,3.177185,3.172244,2.579508,2.578883
model.20.conv,0.118300,128,113,3.172244,3.164222,2.578883,2.558828
model.22.cv2.conv,0.071100,256,238,3.164222,3.156655,2.558828,2.539910
model.23.cv2.0.0.conv,0.126000,64,56,3.156655,3.100386,2.539910,2.531118
model.23.cv2.0.1.conv,0.129500,64,56,3.100386,3.071253,2.531118,2.526566
model.23.cv2.1.0.conv,0.100000,64,58,3.071253,3.055346,2.526566,2.516624
model.23.cv2.1.1.conv,0.090700,64,59,3.055346,3.050650,2.516624,2.513689
model.23.cv2.2.0.conv,0.053600,64,61,3.050650,3.047387,2.513689,2.505532
model.23.cv2.2.1.conv,0.033700,64,62,3.047387,3.046896,2.505532,2.504304
model.23.cv3.0.0.1.conv,0.146200,80,69,3.046896,3.036406,2.504304,2.502665
model.23.cv3.0.1.1.conv,0.146900,80,69,3.036406,3.025846,2.502665,2.501015
model.23.cv3.1.0.1.conv,0.130900,80,70,3.025846,3.022470,2.501015,2.498905
model.23.cv3.1.1.1.conv,0.131900,80,70,3.022470,3.020054,2.498905,2.497395
model.23.cv3.2.0.1.conv,0.074100,80,75,3.020054,3.019396,2.497395,2.495750
model.23.cv3.2.1.1.conv,0.076400,80,74,3.019396,3.019022,2.495750,2.494814
model.3.conv,0.000000,64,63,3.019022,3.014977,2.494814,2.494182
model.4.cv2.conv,0.000000,128,127,3.014977,3.012104,2.494182,2.492869
model.5.conv,0.000000,128,127,3.012104,3.010068,2.492869,2.491597
model.6.cv2.conv,0.000000,128,127,3.010068,3.008633,2.491597,2.488972
model.7.conv,0.000000,256,255,3.008633,3.008073,2.488972,2.487572
model.8.cv2.conv,0.000000,256,255,3.008073,3.007868,2.487572,2.487059
model.9.cv2.conv,0.000000,256,255,3.007868,3.007560,2.487059,2.486290
