layer_name,ratio,out_before,out_after,GMACs_before,GMACs_after,MParams_before,MParams_after
model.0.conv,0.235400,16,13,3.259475,3.228755,2.616248,2.615300
model.1.conv,0.215600,32,26,3.228755,3.205715,2.615300,2.614400
model.10.cv2.conv,0.240200,256,195,3.205715,3.180608,2.614400,2.575299
model.13.cv2.conv,0.276200,128,93,3.180608,3.148072,2.575299,2.561824
model.16.cv2.conv,0.309500,64,45,3.148072,3.037780,2.561824,2.536383
model.17.conv,0.335000,64,43,3.037780,3.019838,2.536383,2.525169
model.19.cv2.conv,0.278500,128,93,3.019838,2.955606,2.525169,2.454784
model.2.cv2.conv,0.197300,64,52,2.955606,2.896316,2.454784,2.447284
model.20.conv,0.328200,128,86,2.896316,2.877937,2.447284,2.401336
model.22.cv2.conv,0.282800,256,184,2.877937,2.847668,2.401336,2.325664
model.23.cv2.0.0.conv,0.335700,64,43,2.847668,2.715688,2.325664,2.305042
model.23.cv2.0.1.conv,0.339000,64,43,2.715688,2.654939,2.305042,2.295550
model.23.cv2.1.0.conv,0.310600,64,45,2.654939,2.611953,2.295550,2.268684
model.23.cv2.1.1.conv,0.301600,64,45,2.611953,2.597665,2.268684,2.259754
model.23.cv2.2.0.conv,0.265800,64,47,2.597665,2.582481,2.259754,2.221793
model.23.cv2.2.1.conv,0.246700,64,49,2.582481,2.579553,2.221793,2.214473
model.23.cv3.0.0.1.conv,0.355200,80,52,2.579553,2.555182,2.214473,2.210665
model.23.cv3.0.1.1.conv,0.355800,80,52,2.555182,2.531348,2.210665,2.206941
model.23.cv3.1.0.1.conv,0.340400,80,53,2.531348,2.523399,2.206941,2.201973
model.23.cv3.1.1.1.conv,0.341300,80,53,2.523399,2.517610,2.201973,2.198355
model.23.cv3.2.0.1.conv,0.285600,80,58,2.517610,2.515190,2.198355,2.192305
model.23.cv3.2.1.1.conv,0.287800,80,57,2.515190,2.513912,2.192305,2.189108
model.3.conv,0.195200,64,52,2.513912,2.472977,2.189108,2.182712
model.4.cv2.conv,0.205500,128,102,2.472977,2.398264,2.182712,2.148574
model.5.conv,0.196700,128,103,2.398264,2.356384,2.148574,2.122399
model.6.cv2.conv,0.200500,128,103,2.356384,2.320504,2.122399,2.056774
model.7.conv,0.204700,256,204,2.320504,2.295876,2.056774,1.995206
model.8.cv2.conv,0.206300,256,204,2.295876,2.285206,1.995206,1.968530
model.9.cv2.conv,0.212000,256,202,2.285206,2.268596,1.968530,1.927004
