layer_name,ratio,out_before,out_after,GMACs_before,GMACs_after,MParams_before,MParams_after
model.0.conv,0.044000,16,15,3.259475,3.249235,2.616248,2.615932
model.1.conv,0.035200,32,31,3.249235,3.244934,2.615932,2.615764
model.10.cv2.conv,0.046200,256,245,3.244934,3.240407,2.615764,2.608713
model.13.cv2.conv,0.062100,128,121,3.240407,3.233900,2.608713,2.606018
model.16.cv2.conv,0.077000,64,60,3.233900,3.210680,2.606018,2.600662
model.17.conv,0.088300,64,59,3.210680,3.205328,2.600662,2.597317
model.19.cv2.conv,0.063200,128,120,3.205328,3.190647,2.597317,2.581229
model.2.cv2.conv,0.027100,64,63,3.190647,3.185706,2.581229,2.580604
model.20.conv,0.085300,128,118,3.185706,3.180358,2.580604,2.567234
model.22.cv2.conv,0.065100,256,240,3.180358,3.173632,2.567234,2.550418
model.23.cv2.0.0.conv,0.088600,64,59,3.173632,3.137888,2.550418,2.544833
model.23.cv2.0.1.conv,0.090100,64,59,3.137888,3.118816,2.544833,2.541853
model.23.cv2.1.0.conv,0.077500,64,60,3.118816,3.108211,2.541853,2.535225
model.23.cv2.1.1.conv,0.073500,64,60,3.108211,3.104339,2.535225,2.532805
model.23.cv2.2.0.conv,0.057600,64,61,3.104339,3.101054,2.532805,2.524594
model.23.cv2.2.1.conv,0.049000,64,61,3.101054,3.100318,2.524594,2.522752
model.23.cv3.0.0.1.conv,0.097300,80,73,3.100318,3.093553,2.522752,2.521695
model.23.cv3.0.1.1.conv,0.097600,80,73,3.093553,3.086654,2.521695,2.520617
model.23.cv3.1.0.1.conv,0.090700,80,73,3.086654,3.084290,2.520617,2.519140
model.23.cv3.1.1.1.conv,0.091100,80,73,3.084290,3.082566,2.519140,2.518062
model.23.cv3.2.0.1.conv,0.066400,80,75,3.082566,3.081904,2.518062,2.516407
model.23.cv3.2.1.1.conv,0.067300,80,75,3.081904,3.081592,2.516407,2.515627
model.3.conv,0.026100,64,63,3.081592,3.077547,2.515627,2.514995
model.4.cv2.conv,0.030700,128,125,3.077547,3.068926,2.514995,2.511056
model.5.conv,0.026700,128,125,3.068926,3.062907,2.511056,2.507294
model.6.cv2.conv,0.028500,128,125,3.062907,3.058601,2.507294,2.499419
model.7.conv,0.030300,256,249,3.058601,3.054732,2.499419,2.489745
model.8.cv2.conv,0.031100,256,249,3.054732,3.053295,2.489745,2.486154
model.9.cv2.conv,0.033600,256,248,3.053295,3.050834,2.486154,2.480002
