layer_name,ratio,out_before,out_after,GMACs_before,GMACs_after,MParams_before,MParams_after
model.0.conv,0.254700,16,12,3.259475,3.218515,2.616248,2.614984
model.1.conv,0.247600,32,25,3.218515,3.193248,2.614984,2.613997
model.10.cv2.conv,0.256500,256,191,3.193248,3.166494,2.613997,2.572332
model.13.cv2.conv,0.269400,128,94,3.166494,3.134888,2.572332,2.559242
model.16.cv2.conv,0.281400,64,46,3.134888,3.030401,2.559242,2.535140
model.17.conv,0.290500,64,46,3.030401,3.014763,2.535140,2.525366
model.19.cv2.conv,0.270200,128,94,3.014763,2.952366,2.525366,2.456992
model.2.cv2.conv,0.241000,64,49,2.952366,2.878254,2.456992,2.447617
model.20.conv,0.288100,128,92,2.878254,2.862371,2.447617,2.407909
model.22.cv2.conv,0.271800,256,187,2.862371,2.833363,2.407909,2.335390
model.23.cv2.0.0.conv,0.290800,64,46,2.833363,2.719200,2.335390,2.317552
model.23.cv2.0.1.conv,0.292000,64,46,2.719200,2.664019,2.317552,2.308930
model.23.cv2.1.0.conv,0.281800,64,46,2.664019,2.623037,2.308930,2.283316
model.23.cv2.1.1.conv,0.278500,64,47,2.623037,2.610008,2.283316,2.275173
model.23.cv2.2.0.conv,0.265700,64,47,2.610008,2.594640,2.275173,2.236753
model.23.cv2.2.1.conv,0.258800,64,48,2.594640,2.591517,2.236753,2.228945
model.23.cv3.0.0.1.conv,0.297800,80,57,2.591517,2.571350,2.228945,2.225794
model.23.cv3.0.1.1.conv,0.298100,80,57,2.571350,2.551037,2.225794,2.222620
model.23.cv3.1.0.1.conv,0.292500,80,57,2.551037,2.544229,2.222620,2.218365
model.23.cv3.1.1.1.conv,0.292800,80,57,2.544229,2.539150,2.218365,2.215191
model.23.cv3.2.0.1.conv,0.272800,80,59,2.539150,2.536815,2.215191,2.209353
model.23.cv3.2.1.1.conv,0.273600,80,59,2.536815,2.535639,2.209353,2.206413
model.3.conv,0.240200,64,49,2.535639,2.487063,2.206413,2.198823
model.4.cv2.conv,0.243900,128,97,2.487063,2.397982,2.198823,2.158120
model.5.conv,0.240800,128,98,2.397982,2.349886,2.158120,2.128060
model.6.cv2.conv,0.242100,128,98,2.349886,2.306830,2.128060,2.049310
model.7.conv,0.243700,256,194,2.306830,2.278582,2.049310,1.978692
model.8.cv2.conv,0.244200,256,194,2.278582,2.265860,1.978692,1.946886
model.9.cv2.conv,0.246300,256,193,2.265860,2.246481,1.946886,1.898439
