index,layer_name,ratio,out_channels_before,out_channels_after,GMACs_before,GMACs_after,MParams_before,MParams_after,mAP_50_95,mAP_50,precision,recall,weights_path
0,model.0.conv,0.85,16,3,3.275827,3.141376,2.624080,2.619959,0.098795,0.158153,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_85/layer_00/yolo11n_pruned_layer00.pt
1,model.1.conv,0.85,32,5,3.275827,3.152794,2.624080,2.619274,0.007810,0.012363,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_85/layer_01/yolo11n_pruned_layer01.pt
2,model.10.cv2.conv,0.85,256,39,3.275827,3.186423,2.624080,2.484766,0.104524,0.158910,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_85/layer_02/yolo11n_pruned_layer02.pt
3,model.13.cv2.conv,0.85,128,20,3.275827,3.175258,2.624080,2.582392,0.189673,0.292316,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_85/layer_03/yolo11n_pruned_layer03.pt
4,model.16.cv2.conv,0.85,64,10,3.275827,2.961677,2.624080,2.551666,0.258540,0.414005,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_85/layer_04/yolo11n_pruned_layer04.pt
5,model.17.conv,0.85,64,10,3.275827,3.214829,2.624080,2.585956,0.330645,0.501543,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_85/layer_05/yolo11n_pruned_layer05.pt
6,model.19.cv2.conv,0.85,128,20,3.275827,3.077280,2.624080,2.406676,0.195680,0.361689,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_85/layer_06/yolo11n_pruned_layer06.pt
7,model.2.cv2.conv,0.85,64,10,3.275827,3.007642,2.624080,2.590276,0.001718,0.002636,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_85/layer_07/yolo11n_pruned_layer07.pt
8,model.20.conv,0.85,128,20,3.275827,3.214915,2.624080,2.471800,0.314735,0.490071,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_85/layer_08/yolo11n_pruned_layer08.pt
9,model.22.cv2.conv,0.85,256,39,3.275827,3.184427,2.624080,2.395579,0.206256,0.332920,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_85/layer_09/yolo11n_pruned_layer09.pt
10,model.23.cv2.0.0.conv,0.85,64,10,3.275827,2.877005,2.624080,2.561764,0.332495,0.467647,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_85/layer_10/yolo11n_pruned_layer10.pt
11,model.23.cv2.0.1.conv,0.85,64,10,3.275827,3.053952,2.624080,2.589412,0.339885,0.483967,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_85/layer_11/yolo11n_pruned_layer11.pt
13,model.23.cv2.1.0.conv,0.85,64,10,3.275827,3.126355,2.624080,2.530660,0.274617,0.420817,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_85/layer_13/yolo11n_pruned_layer13.pt
14,model.23.cv2.1.1.conv,0.85,64,10,3.275827,3.220358,2.624080,2.589412,0.251982,0.380814,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_85/layer_14/yolo11n_pruned_layer14.pt
16,model.23.cv2.2.0.conv,0.85,64,10,3.275827,3.213576,2.624080,2.468452,0.169907,0.346652,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_85/layer_16/yolo11n_pruned_layer16.pt
17,model.23.cv2.2.1.conv,0.85,64,10,3.275827,3.261960,2.624080,2.589412,0.118115,0.252679,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_85/layer_17/yolo11n_pruned_layer17.pt
19,model.23.cv3.0.0.1.conv,0.85,80,12,3.275827,3.207501,2.624080,2.613404,0.377783,0.523457,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_85/layer_19/yolo11n_pruned_layer19.pt
20,model.23.cv3.0.1.1.conv,0.85,80,12,3.275827,3.205325,2.624080,2.613064,0.378693,0.524713,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_85/layer_20/yolo11n_pruned_layer20.pt
22,model.23.cv3.1.0.1.conv,0.85,80,12,3.275827,3.251782,2.624080,2.609052,0.341371,0.487418,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_85/layer_22/yolo11n_pruned_layer22.pt
23,model.23.cv3.1.1.1.conv,0.85,80,12,3.275827,3.258202,2.624080,2.613064,0.343638,0.491446,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_85/layer_23/yolo11n_pruned_layer23.pt
25,model.23.cv3.2.0.1.conv,0.85,80,12,3.275827,3.266334,2.624080,2.600348,0.214508,0.335559,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_85/layer_25/yolo11n_pruned_layer25.pt
26,model.23.cv3.2.1.1.conv,0.85,80,12,3.275827,3.271421,2.624080,2.613064,0.214149,0.340082,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_85/layer_26/yolo11n_pruned_layer26.pt
28,model.3.conv,0.85,64,10,3.275827,3.053952,2.624080,2.589412,0.000331,0.000811,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_85/layer_28/yolo11n_pruned_layer28.pt
29,model.4.cv2.conv,0.85,128,20,3.275827,2.964787,2.624080,2.482168,0.000730,0.001698,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_85/layer_29/yolo11n_pruned_layer29.pt
30,model.5.conv,0.85,128,20,3.275827,3.054298,2.624080,2.485624,0.004269,0.007249,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_85/layer_30/yolo11n_pruned_layer30.pt
31,model.6.cv2.conv,0.85,128,20,3.275827,3.120653,2.624080,2.340472,0.003950,0.007495,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_85/layer_31/yolo11n_pruned_layer31.pt
32,model.7.conv,0.85,256,39,3.275827,3.153439,2.624080,2.318110,0.025780,0.038666,0.000000,0.000000,runs/opt_pruning_demo/layerwise_ratio_85/layer_32/yolo11n_pruned_layer32.pt
