layer_name,ratio,out_before,out_after,GMACs_before,GMACs_after,MParams_before,MParams_after
model.0.conv,0.062100,16,15,3.259475,3.249235,2.616248,2.615932
model.1.conv,0.056200,32,31,3.249235,3.244934,2.615932,2.615764
model.10.cv2.conv,0.063600,256,240,3.244934,3.238349,2.615764,2.605508
model.13.cv2.conv,0.074400,128,119,3.238349,3.229982,2.605508,2.602043
model.16.cv2.conv,0.084400,64,59,3.229982,3.200958,2.602043,2.595348
model.17.conv,0.092100,64,59,3.200958,3.195678,2.595348,2.592048
model.19.cv2.conv,0.075100,128,119,3.195678,3.179162,2.592048,2.573949
model.2.cv2.conv,0.050700,64,61,3.179162,3.164339,2.573949,2.572074
model.20.conv,0.090100,128,117,3.164339,3.158496,2.572074,2.557466
model.22.cv2.conv,0.076400,256,237,3.158496,3.150508,2.557466,2.537497
model.23.cv2.0.0.conv,0.092300,64,59,3.150508,3.115052,2.537497,2.531957
model.23.cv2.0.1.conv,0.093300,64,59,3.115052,3.095980,2.531957,2.528977
model.23.cv2.1.0.conv,0.084700,64,59,3.095980,3.082796,2.528977,2.520737
model.23.cv2.1.1.conv,0.082000,64,59,3.082796,3.078028,2.520737,2.517757
model.23.cv2.2.0.conv,0.071300,64,60,3.078028,3.073692,2.517757,2.506917
model.23.cv2.2.1.conv,0.065500,64,60,3.073692,3.072724,2.506917,2.504497
model.23.cv3.0.0.1.conv,0.098200,80,73,3.072724,3.066004,2.504497,2.503447
model.23.cv3.0.1.1.conv,0.098400,80,73,3.066004,3.059105,2.503447,2.502369
model.23.cv3.1.0.1.conv,0.093700,80,73,3.059105,3.056753,2.502369,2.500899
model.23.cv3.1.1.1.conv,0.094000,80,73,3.056753,3.055028,2.500899,2.499821
model.23.cv3.2.0.1.conv,0.077200,80,74,3.055028,3.054241,2.499821,2.497853
model.23.cv3.2.1.1.conv,0.077900,80,74,3.054241,3.053869,2.497853,2.496923
model.3.conv,0.050000,64,61,3.053869,3.042080,2.496923,2.495081
model.4.cv2.conv,0.053100,128,122,3.042080,3.024839,2.495081,2.487203
model.5.conv,0.050400,128,122,3.024839,3.013060,2.487203,2.479841
model.6.cv2.conv,0.051600,128,122,3.013060,3.004448,2.479841,2.464091
model.7.conv,0.052900,256,243,3.004448,2.997402,2.464091,2.446476
model.8.cv2.conv,0.053300,256,243,2.997402,2.994735,2.446476,2.439807
model.9.cv2.conv,0.055100,256,242,2.994735,2.990428,2.439807,2.429041
