epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,485.645,1.74712,3.52837,1.66571,0.43754,0.09159,0.05617,0.03612,1.53616,2.6061,1.46763,0.0350081,0.00166577,0.00166577
2,982.929,1.43176,2.52022,1.36535,0.44393,0.2404,0.22638,0.15148,1.38817,1.95543,1.32916,0.0199878,0.00331212,0.00331212
3,1480.62,1.35671,2.10043,1.30746,0.48698,0.31841,0.32644,0.21993,1.32643,1.69071,1.28213,0.004887,0.00487799,0.00487799
4,1976.32,1.31785,1.9122,1.28303,0.53055,0.36365,0.37872,0.25669,1.28116,1.54988,1.25,0.00473024,0.00473024,0.00473024
5,2471.23,1.28961,1.80391,1.26379,0.54727,0.37844,0.39934,0.27401,1.25019,1.48863,1.22781,0.00452732,0.00452732,0.00452732
6,2967.08,1.26867,1.74605,1.25077,0.55745,0.39588,0.41821,0.28811,1.23403,1.44311,1.21481,0.00427509,0.00427509,0.00427509
7,3464.64,1.25228,1.70291,1.24129,0.57055,0.39889,0.42745,0.29578,1.22121,1.41307,1.20551,0.00397977,0.00397977,0.00397977
8,3958.93,1.24006,1.66108,1.23216,0.57712,0.4056,0.43593,0.30237,1.21464,1.39363,1.2006,0.00364863,0.00364863,0.00364863
9,4453.07,1.2311,1.62993,1.22775,0.58318,0.40879,0.4431,0.30794,1.21021,1.3803,1.19779,0.00328982,0.00328982,0.00328982
10,4948.72,1.22045,1.59751,1.22078,0.59003,0.41263,0.44683,0.31068,1.20676,1.37169,1.195,0.00291218,0.00291218,0.00291218
11,5427.3,1.24947,1.5164,1.24785,0.59793,0.41525,0.45047,0.31355,1.20186,1.36382,1.19175,0.002525,0.002525,0.002525
12,5901.6,1.23612,1.47932,1.23763,0.59986,0.41586,0.45389,0.31657,1.19902,1.35632,1.18983,0.00213782,0.00213782,0.00213782
13,6372.24,1.22473,1.4477,1.22963,0.59991,0.41988,0.45637,0.31855,1.19575,1.34975,1.18713,0.00176018,0.00176018,0.00176018
14,6846.87,1.21087,1.41748,1.22192,0.60222,0.42067,0.45897,0.32079,1.1924,1.34388,1.18484,0.00140137,0.00140137,0.00140137
15,7316.93,1.20162,1.38781,1.21438,0.60495,0.41928,0.46124,0.32284,1.19021,1.33789,1.18295,0.00107023,0.00107023,0.00107023
16,7787.78,1.18906,1.36244,1.20734,0.60473,0.42252,0.4631,0.32429,1.18805,1.33335,1.18134,0.000774911,0.000774911,0.000774911
17,8259.09,1.18131,1.33857,1.20063,0.6084,0.42457,0.46524,0.32576,1.18632,1.32872,1.17987,0.000522683,0.000522683,0.000522683
18,8729.49,1.17279,1.32094,1.19667,0.60778,0.42599,0.46703,0.3273,1.18478,1.32449,1.1784,0.000319759,0.000319759,0.000319759
19,9199.94,1.16683,1.30484,1.19331,0.60869,0.42902,0.46858,0.32858,1.18302,1.32054,1.17689,0.000171135,0.000171135,0.000171135
20,9671.33,1.16315,1.29513,1.18969,0.605,0.43154,0.46977,0.32955,1.18256,1.31782,1.17622,8.04714e-05,8.04714e-05,8.04714e-05
