layer_name,ratio,out_before,out_after,GMACs_before,GMACs_after,MParams_before,MParams_after
model.0.conv,0.248900,16,13,3.259475,3.228755,2.616248,2.615300
model.1.conv,0.240600,32,25,3.228755,3.201875,2.615300,2.614250
model.10.cv2.conv,0.251000,256,192,3.201875,3.175533,2.614250,2.573226
model.13.cv2.conv,0.266100,128,94,3.175533,3.143926,2.573226,2.560136
model.16.cv2.conv,0.280100,64,47,3.143926,3.045245,2.560136,2.537373
model.17.conv,0.290700,64,46,3.045245,3.029347,2.537373,2.527437
model.19.cv2.conv,0.267000,128,94,3.029347,2.966950,2.527437,2.459063
model.2.cv2.conv,0.233000,64,50,2.966950,2.897779,2.459063,2.450313
model.20.conv,0.287900,128,92,2.897779,2.881896,2.450313,2.410605
model.22.cv2.conv,0.268800,256,188,2.881896,2.853309,2.410605,2.339137
model.23.cv2.0.0.conv,0.291100,64,46,2.853309,2.738109,2.339137,2.321137
model.23.cv2.0.1.conv,0.292500,64,46,2.738109,2.682928,2.321137,2.312515
model.23.cv2.1.0.conv,0.280500,64,47,2.682928,2.644222,2.312515,2.288324
model.23.cv2.1.1.conv,0.276700,64,47,2.644222,2.630949,2.288324,2.280028
model.23.cv2.2.0.conv,0.261700,64,48,2.630949,2.616427,2.280028,2.243724
model.23.cv2.2.1.conv,0.253700,64,48,2.616427,2.613246,2.243724,2.235772
model.23.cv3.0.0.1.conv,0.299200,80,57,2.613246,2.592933,2.235772,2.232598
model.23.cv3.0.1.1.conv,0.299500,80,57,2.592933,2.572619,2.232598,2.229424
model.23.cv3.1.0.1.conv,0.293000,80,57,2.572619,2.565811,2.229424,2.225169
model.23.cv3.1.1.1.conv,0.293400,80,57,2.565811,2.560733,2.225169,2.221995
model.23.cv3.2.0.1.conv,0.270000,80,59,2.560733,2.558389,2.221995,2.216136
model.23.cv3.2.1.1.conv,0.270900,80,59,2.558389,2.557213,2.216136,2.213196
model.3.conv,0.232100,64,50,2.557213,2.511069,2.213196,2.205986
model.4.cv2.conv,0.236400,128,98,2.511069,2.424861,2.205986,2.166596
model.5.conv,0.232700,128,99,2.424861,2.377951,2.166596,2.137277
model.6.cv2.conv,0.234300,128,99,2.377951,2.336330,2.137277,2.061152
model.7.conv,0.236100,256,196,2.336330,2.308778,2.061152,1.992272
model.8.cv2.conv,0.236700,256,196,2.308778,2.296466,1.992272,1.961492
model.9.cv2.conv,0.239100,256,195,2.296466,2.277702,1.961492,1.914583
