index,layer_name,ratio,out_channels_before,out_channels_after,GMACs_before,GMACs_after,MParams_before,MParams_after,mAP_50_95,mAP_50,precision,recall,weights_path
0,model.0.conv,0.1,16,15,3.275827,3.265485,2.624080,2.623763,0.391672,0.551884,0.000000,0.000000,/home/cnt-computadores/runs/opt/layerwise_ratio_10/layer_00/yolo11n_pruned_layer00.pt
1,model.1.conv,0.1,32,29,3.275827,3.262157,2.624080,2.623546,0.346750,0.491150,0.000000,0.000000,/home/cnt-computadores/runs/opt/layerwise_ratio_10/layer_01/yolo11n_pruned_layer01.pt
2,model.10.cv2.conv,0.1,256,231,3.275827,3.265527,2.624080,2.608030,0.386122,0.545045,0.000000,0.000000,/home/cnt-computadores/runs/opt/layerwise_ratio_10/layer_02/yolo11n_pruned_layer02.pt
3,model.13.cv2.conv,0.1,128,116,3.275827,3.264653,2.624080,2.619448,0.387768,0.545322,0.000000,0.000000,/home/cnt-computadores/runs/opt/layerwise_ratio_10/layer_03/yolo11n_pruned_layer03.pt
4,model.16.cv2.conv,0.1,64,58,3.275827,3.240922,2.624080,2.616034,0.378972,0.525667,0.000000,0.000000,/home/cnt-computadores/runs/opt/layerwise_ratio_10/layer_04/yolo11n_pruned_layer04.pt
5,model.17.conv,0.1,64,58,3.275827,3.269050,2.624080,2.619844,0.391771,0.551766,0.000000,0.000000,/home/cnt-computadores/runs/opt/layerwise_ratio_10/layer_05/yolo11n_pruned_layer05.pt
6,model.19.cv2.conv,0.1,128,116,3.275827,3.253766,2.624080,2.599924,0.388178,0.548477,0.000000,0.000000,/home/cnt-computadores/runs/opt/layerwise_ratio_10/layer_06/yolo11n_pruned_layer06.pt
7,model.2.cv2.conv,0.1,64,58,3.275827,3.246029,2.624080,2.620324,0.383190,0.539926,0.000000,0.000000,/home/cnt-computadores/runs/opt/layerwise_ratio_10/layer_07/yolo11n_pruned_layer07.pt
8,model.20.conv,0.1,128,116,3.275827,3.269059,2.624080,2.607160,0.391391,0.552030,0.000000,0.000000,/home/cnt-computadores/runs/opt/layerwise_ratio_10/layer_08/yolo11n_pruned_layer08.pt
9,model.22.cv2.conv,0.1,256,231,3.275827,3.265297,2.624080,2.597755,0.388771,0.550513,0.000000,0.000000,/home/cnt-computadores/runs/opt/layerwise_ratio_10/layer_09/yolo11n_pruned_layer09.pt
10,model.23.cv2.0.0.conv,0.1,64,58,3.275827,3.231514,2.624080,2.617156,0.391850,0.552836,0.000000,0.000000,/home/cnt-computadores/runs/opt/layerwise_ratio_10/layer_10/yolo11n_pruned_layer10.pt
