layer_name,ratio,out_before,out_after,GMACs_before,GMACs_after,MParams_before,MParams_after
model.0.conv,0.238500,16,13,3.259475,3.228755,2.616248,2.615300
model.1.conv,0.221700,32,25,3.228755,3.201875,2.615300,2.614250
model.10.cv2.conv,0.242500,256,194,3.201875,3.176356,2.614250,2.574508
model.13.cv2.conv,0.273000,128,94,3.176356,3.144750,2.574508,2.561418
model.16.cv2.conv,0.301200,64,45,3.144750,3.034458,2.561418,2.535977
model.17.conv,0.322800,64,44,3.034458,3.017370,2.535977,2.525297
model.19.cv2.conv,0.275000,128,93,3.017370,2.953138,2.525297,2.454912
model.2.cv2.conv,0.206200,64,51,2.953138,2.888908,2.454912,2.446787
model.20.conv,0.317100,128,88,2.888908,2.871404,2.446787,2.403027
model.22.cv2.conv,0.278600,256,185,2.871404,2.841556,2.403027,2.328406
model.23.cv2.0.0.conv,0.323500,64,44,2.841556,2.715860,2.328406,2.308766
model.23.cv2.0.1.conv,0.326300,64,44,2.715860,2.656852,2.308766,2.299546
model.23.cv2.1.0.conv,0.302200,64,45,2.656852,2.613866,2.299546,2.272680
model.23.cv2.1.1.conv,0.294600,64,46,2.613866,2.600330,2.272680,2.264220
model.23.cv2.2.0.conv,0.264200,64,48,2.600330,2.585981,2.264220,2.228348
model.23.cv2.2.1.conv,0.248000,64,49,2.585981,2.582999,2.228348,2.220893
model.23.cv3.0.0.1.conv,0.340000,80,53,2.582999,2.559498,2.220893,2.217221
model.23.cv3.0.1.1.conv,0.340500,80,53,2.559498,2.536343,2.217221,2.213603
model.23.cv3.1.0.1.conv,0.327400,80,54,2.536343,2.528689,2.213603,2.208819
model.23.cv3.1.1.1.conv,0.328200,80,54,2.528689,2.523073,2.208819,2.205309
model.23.cv3.2.0.1.conv,0.281000,80,58,2.523073,2.520644,2.205309,2.199237
model.23.cv3.2.1.1.conv,0.282800,80,58,2.520644,2.519421,2.199237,2.196179
model.3.conv,0.204400,64,51,2.519421,2.475824,2.196179,2.189367
model.4.cv2.conv,0.213100,128,101,2.475824,2.398237,2.189367,2.153916
model.5.conv,0.205600,128,102,2.398237,2.355056,2.153916,2.126928
model.6.cv2.conv,0.208800,128,102,2.355056,2.317741,2.126928,2.058678
model.7.conv,0.212400,256,202,2.317741,2.292361,2.058678,1.995228
model.8.cv2.conv,0.213800,256,202,2.292361,2.281280,1.995228,1.967526
model.9.cv2.conv,0.218600,256,201,2.281280,2.264362,1.967526,1.925231
