epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,502.893,1.80888,3.67654,1.7185,0.53524,0.05389,0.03562,0.02244,1.59795,2.81883,1.52929,0.0350081,0.00166577,0.00166577
2,1017.7,1.47324,2.72836,1.40989,0.32211,0.1673,0.12541,0.08287,1.4395,2.22287,1.38225,0.0199878,0.00331212,0.00331212
3,1533.31,1.39486,2.32674,1.34356,0.36952,0.25492,0.22553,0.15032,1.37054,1.90715,1.32187,0.004887,0.00487799,0.00487799
4,2049.4,1.34808,2.08233,1.30897,0.47768,0.31125,0.31675,0.21338,1.31211,1.6825,1.27593,0.00473024,0.00473024,0.00473024
5,2569.99,1.31274,1.91998,1.2825,0.51018,0.35255,0.36177,0.24572,1.27368,1.56522,1.25076,0.00452732,0.00452732,0.00452732
6,3081.51,1.28973,1.83523,1.26853,0.55328,0.36368,0.38726,0.26539,1.25547,1.50983,1.23509,0.00427509,0.00427509,0.00427509
7,3599.89,1.271,1.78159,1.25683,0.5529,0.37804,0.40082,0.27543,1.2381,1.47193,1.22032,0.00397977,0.00397977,0.00397977
8,4114.28,1.25694,1.73369,1.2458,0.5619,0.38333,0.41012,0.28264,1.23118,1.44709,1.21384,0.00364863,0.00364863,0.00364863
9,4629.97,1.24723,1.70034,1.24021,0.55896,0.39112,0.41665,0.28788,1.22373,1.43106,1.20931,0.00328982,0.00328982,0.00328982
10,5145.77,1.23624,1.66602,1.23229,0.55932,0.39506,0.42166,0.29196,1.21994,1.41943,1.2064,0.00291218,0.00291218,0.00291218
11,5646.28,1.26373,1.5711,1.26039,0.56548,0.39898,0.42619,0.29513,1.21513,1.40962,1.2033,0.002525,0.002525,0.002525
12,6141.75,1.24928,1.52892,1.24835,0.56846,0.40318,0.43077,0.29846,1.2108,1.40007,1.20015,0.00213782,0.00213782,0.00213782
13,6637.42,1.23755,1.49564,1.24038,0.57712,0.40385,0.43442,0.30138,1.20682,1.39051,1.19742,0.00176018,0.00176018,0.00176018
14,7132.42,1.22487,1.46279,1.23246,0.57363,0.40897,0.4381,0.30463,1.20359,1.38247,1.19506,0.00140137,0.00140137,0.00140137
15,7627.01,1.2152,1.43315,1.22592,0.57215,0.41326,0.44152,0.30743,1.20128,1.37518,1.19291,0.00107023,0.00107023,0.00107023
16,8120.45,1.20188,1.4076,1.21803,0.5792,0.41465,0.44471,0.3098,1.19894,1.36887,1.19108,0.000774911,0.000774911,0.000774911
17,8617.4,1.19447,1.38215,1.21163,0.58171,0.41647,0.44751,0.3119,1.19685,1.3635,1.18903,0.000522683,0.000522683,0.000522683
18,9115.99,1.18658,1.36451,1.20686,0.58783,0.41644,0.44993,0.31379,1.19478,1.35859,1.18732,0.000319759,0.000319759,0.000319759
19,9612.65,1.18012,1.34781,1.20318,0.58539,0.41928,0.45228,0.31567,1.19328,1.35356,1.18586,0.000171135,0.000171135,0.000171135
20,10109,1.17649,1.33825,1.19975,0.58517,0.42095,0.45368,0.31683,1.19233,1.3499,1.18472,8.04714e-05,8.04714e-05,8.04714e-05
