epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,495.589,1.7479,3.53962,1.65552,0.51768,0.07868,0.05096,0.03252,1.55301,2.67582,1.48431,0.0350081,0.00166577,0.00166577
2,1006.66,1.44353,2.61008,1.37986,0.38294,0.20581,0.17696,0.1187,1.39963,2.07626,1.34538,0.0199878,0.00331212,0.00331212
3,1518.43,1.36616,2.17711,1.3166,0.48439,0.29997,0.30367,0.20438,1.33344,1.73789,1.29045,0.004887,0.00487799,0.00487799
4,2028.51,1.32308,1.94999,1.28767,0.52749,0.34648,0.36638,0.24962,1.28874,1.57995,1.25495,0.00473024,0.00473024,0.00473024
5,2542.22,1.29227,1.83054,1.26654,0.55121,0.37444,0.39457,0.27131,1.25106,1.49848,1.2291,0.00452732,0.00452732,0.00452732
6,3051.01,1.27135,1.76583,1.25302,0.56826,0.3892,0.41399,0.28607,1.23286,1.45103,1.21568,0.00427509,0.00427509,0.00427509
7,3559.46,1.25511,1.72152,1.24375,0.56942,0.39574,0.42302,0.29429,1.22234,1.4244,1.20643,0.00397977,0.00397977,0.00397977
8,4073.14,1.24311,1.6843,1.23526,0.57555,0.40086,0.43061,0.29981,1.21422,1.40764,1.20104,0.00364863,0.00364863,0.00364863
9,4578.43,1.23428,1.65335,1.23067,0.58305,0.40579,0.43639,0.30363,1.20868,1.39555,1.19821,0.00328982,0.00328982,0.00328982
10,5086.06,1.22416,1.62148,1.22372,0.59314,0.40511,0.44049,0.30676,1.2043,1.38603,1.19544,0.00291218,0.00291218,0.00291218
11,5575.54,1.251,1.53127,1.24959,0.6004,0.40382,0.4439,0.31004,1.20132,1.37807,1.19336,0.002525,0.002525,0.002525
12,6061.88,1.23819,1.49228,1.23925,0.60953,0.40457,0.44784,0.31289,1.19839,1.37066,1.19128,0.00213782,0.00213782,0.00213782
13,6548.57,1.22615,1.46153,1.23123,0.60089,0.40956,0.45023,0.31486,1.19591,1.36362,1.1894,0.00176018,0.00176018,0.00176018
14,7037.15,1.21319,1.42988,1.22411,0.60316,0.41193,0.45343,0.31718,1.19352,1.35699,1.18781,0.00140137,0.00140137,0.00140137
15,7525.36,1.20397,1.40134,1.21705,0.60279,0.41336,0.45591,0.3193,1.1911,1.35138,1.18561,0.00107023,0.00107023,0.00107023
16,8013.21,1.19105,1.37502,1.20972,0.60883,0.41239,0.45853,0.32096,1.18896,1.34619,1.18383,0.000774911,0.000774911,0.000774911
17,8501.16,1.18412,1.35045,1.20307,0.60403,0.41542,0.4606,0.32283,1.18721,1.3411,1.18251,0.000522683,0.000522683,0.000522683
18,8989.62,1.17562,1.333,1.1984,0.60835,0.41629,0.46254,0.3243,1.18566,1.33658,1.18103,0.000319759,0.000319759,0.000319759
19,9478.96,1.17014,1.31714,1.19553,0.60971,0.41862,0.46451,0.32564,1.1841,1.33282,1.17946,0.000171135,0.000171135,0.000171135
20,9968.23,1.16579,1.30719,1.19193,0.60951,0.42024,0.46589,0.32672,1.18292,1.32977,1.17838,8.04714e-05,8.04714e-05,8.04714e-05
