layer_name,ratio,out_before,out_after,GMACs_before,GMACs_after,MParams_before,MParams_after
model.0.conv,0.237500,16,13,3.259475,3.228755,2.616248,2.615300
model.1.conv,0.220100,32,25,3.228755,3.201875,2.615300,2.614250
model.10.cv2.conv,0.241800,256,195,3.201875,3.176768,2.614250,2.575149
model.13.cv2.conv,0.273300,128,94,3.176768,3.145161,2.575149,2.562059
model.16.cv2.conv,0.302700,64,45,3.145161,3.034870,2.562059,2.536618
model.17.conv,0.325000,64,44,3.034870,3.017782,2.536618,2.525938
model.19.cv2.conv,0.275400,128,93,3.017782,2.953550,2.525938,2.455553
model.2.cv2.conv,0.204100,64,51,2.953550,2.889320,2.455553,2.447428
model.20.conv,0.319100,128,88,2.889320,2.871816,2.447428,2.403668
model.22.cv2.conv,0.279200,256,185,2.871816,2.841967,2.403668,2.329047
model.23.cv2.0.0.conv,0.325700,64,44,2.841967,2.716271,2.329047,2.309407
model.23.cv2.0.1.conv,0.328600,64,43,2.716271,2.654313,2.309407,2.299726
model.23.cv2.1.0.conv,0.303700,64,45,2.654313,2.611327,2.299726,2.272860
model.23.cv2.1.1.conv,0.295700,64,46,2.611327,2.597791,2.272860,2.264400
model.23.cv2.2.0.conv,0.264300,64,48,2.597791,2.583442,2.264400,2.228528
model.23.cv2.2.1.conv,0.247500,64,49,2.583442,2.580460,2.228528,2.221073
model.23.cv3.0.0.1.conv,0.342800,80,53,2.580460,2.556960,2.221073,2.217401
model.23.cv3.0.1.1.conv,0.343400,80,53,2.556960,2.533804,2.217401,2.213783
model.23.cv3.1.0.1.conv,0.329800,80,54,2.533804,2.526150,2.213783,2.208999
model.23.cv3.1.1.1.conv,0.330600,80,54,2.526150,2.520534,2.208999,2.205489
model.23.cv3.2.0.1.conv,0.281700,80,58,2.520534,2.518105,2.205489,2.199417
model.23.cv3.2.1.1.conv,0.283600,80,58,2.518105,2.516882,2.199417,2.196359
model.3.conv,0.202200,64,52,2.516882,2.476639,2.196359,2.190071
model.4.cv2.conv,0.211200,128,101,2.476639,2.399052,2.190071,2.154620
model.5.conv,0.203500,128,102,2.399052,2.355871,2.154620,2.127632
model.6.cv2.conv,0.206800,128,102,2.355871,2.318556,2.127632,2.059382
model.7.conv,0.210600,256,203,2.318556,2.293646,2.059382,1.997107
model.8.cv2.conv,0.211900,256,202,2.293646,2.282565,1.997107,1.969405
model.9.cv2.conv,0.217000,256,201,2.282565,2.265647,1.969405,1.927110
