epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,513.62,1.77897,3.6285,1.69087,0.54973,0.06171,0.04138,0.02644,1.57189,2.74711,1.51184,0.0350081,0.00166577,0.00166577
2,1043.95,1.4629,2.68724,1.39961,0.32159,0.17032,0.13032,0.08574,1.43534,2.20336,1.37074,0.0199878,0.00331212,0.00331212
3,1571.97,1.38901,2.31202,1.33877,0.36767,0.24539,0.22156,0.14778,1.37146,1.9258,1.32094,0.004887,0.00487799,0.00487799
4,2097.75,1.34747,2.09589,1.30866,0.43719,0.29738,0.28902,0.19459,1.31548,1.74095,1.28173,0.00473024,0.00473024,0.00473024
5,2624.05,1.31547,1.95957,1.28648,0.48425,0.32612,0.33059,0.22523,1.27673,1.63484,1.2553,0.00452732,0.00452732,0.00452732
6,3154.19,1.29335,1.87809,1.2711,0.51997,0.34537,0.36179,0.24755,1.25574,1.56313,1.23442,0.00427509,0.00427509,0.00427509
7,3677.03,1.27552,1.82279,1.26041,0.52195,0.36122,0.37866,0.2598,1.24436,1.52122,1.2253,0.00397977,0.00397977,0.00397977
8,4201,1.26169,1.77146,1.25058,0.52975,0.37347,0.3927,0.26967,1.23425,1.4889,1.21839,0.00364863,0.00364863,0.00364863
9,4726.32,1.25135,1.7315,1.24443,0.54041,0.38105,0.40133,0.27683,1.22742,1.46793,1.21394,0.00328982,0.00328982,0.00328982
10,5247.23,1.23935,1.69236,1.23601,0.54202,0.38754,0.40798,0.28185,1.22199,1.45189,1.21002,0.00291218,0.00291218,0.00291218
11,5751.08,1.26709,1.59934,1.2646,0.54703,0.39266,0.41422,0.28648,1.21695,1.43719,1.20669,0.002525,0.002525,0.002525
12,6251.58,1.25328,1.55479,1.25241,0.55711,0.39426,0.41938,0.29042,1.21269,1.42537,1.20353,0.00213782,0.00213782,0.00213782
13,6747.43,1.24106,1.51959,1.24359,0.5572,0.39807,0.42456,0.29454,1.20863,1.41564,1.20039,0.00176018,0.00176018,0.00176018
14,7245.15,1.22798,1.48356,1.2358,0.54772,0.40303,0.42905,0.29768,1.20456,1.40611,1.19728,0.00140137,0.00140137,0.00140137
15,7741.4,1.2178,1.4549,1.22837,0.55378,0.40405,0.43319,0.30084,1.20077,1.398,1.19453,0.00107023,0.00107023,0.00107023
16,8236.15,1.20338,1.4261,1.22062,0.55875,0.40712,0.43675,0.30353,1.19852,1.39014,1.19244,0.000774911,0.000774911,0.000774911
17,8735.75,1.19704,1.4013,1.21416,0.56595,0.40805,0.44031,0.30633,1.19643,1.38286,1.19056,0.000522683,0.000522683,0.000522683
18,9234.19,1.18916,1.38229,1.20941,0.56717,0.4121,0.44343,0.3086,1.1944,1.37638,1.18886,0.000319759,0.000319759,0.000319759
19,9733.6,1.18267,1.36648,1.20621,0.57171,0.41407,0.44631,0.31065,1.19275,1.37132,1.18744,0.000171135,0.000171135,0.000171135
20,10231.8,1.17964,1.35624,1.20285,0.57601,0.41564,0.44844,0.31205,1.1919,1.36653,1.18638,8.04714e-05,8.04714e-05,8.04714e-05
