epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,543.085,1.88626,3.81462,1.78646,0.64652,0.03524,0.02964,0.01829,1.64849,2.94555,1.57423,0.0350081,0.00166577,0.00166577
2,1069.59,1.51401,2.84885,1.44205,0.32328,0.14569,0.09817,0.06322,1.48472,2.33584,1.42572,0.0199878,0.00331212,0.00331212
3,1600.66,1.4227,2.4337,1.3678,0.34608,0.21729,0.18142,0.11928,1.40922,2.03295,1.35049,0.004887,0.00487799,0.00487799
4,2098.79,1.37673,2.20546,1.3322,0.40369,0.26791,0.25099,0.16777,1.3474,1.82832,1.30558,0.00473024,0.00473024,0.00473024
5,2602.77,1.34343,2.05548,1.30645,0.46009,0.29618,0.29277,0.19769,1.30958,1.71808,1.27942,0.00452732,0.00452732,0.00452732
6,3120.64,1.32116,1.9672,1.29126,0.47299,0.32047,0.32029,0.21823,1.28645,1.64806,1.25944,0.00427509,0.00427509,0.00427509
7,3633.85,1.30116,1.9064,1.27908,0.49833,0.33482,0.34139,0.23284,1.27242,1.6004,1.24745,0.00397977,0.00397977,0.00397977
8,4139.7,1.28678,1.85649,1.26864,0.50428,0.34284,0.35444,0.24288,1.26153,1.57293,1.24054,0.00364863,0.00364863,0.00364863
9,4635.27,1.27491,1.81661,1.26089,0.50881,0.35075,0.36222,0.2485,1.25295,1.55012,1.23434,0.00328982,0.00328982,0.00328982
10,5143.47,1.26428,1.77897,1.25283,0.50932,0.35429,0.36794,0.2528,1.2481,1.53414,1.23036,0.00291218,0.00291218,0.00291218
11,5638.04,1.29507,1.69353,1.28629,0.51629,0.36033,0.37427,0.25773,1.24278,1.51994,1.22704,0.002525,0.002525,0.002525
12,6138.38,1.2821,1.64599,1.27388,0.52136,0.3631,0.37951,0.26176,1.23851,1.50748,1.22364,0.00213782,0.00213782,0.00213782
13,6635.76,1.26805,1.60937,1.26394,0.53383,0.36625,0.38542,0.26568,1.23539,1.49673,1.22097,0.00176018,0.00176018,0.00176018
14,7133.45,1.25501,1.57165,1.25601,0.52958,0.37079,0.39032,0.26986,1.23192,1.48615,1.21825,0.00140137,0.00140137,0.00140137
15,7619.48,1.24399,1.54175,1.24873,0.53157,0.37488,0.39464,0.27314,1.2292,1.47724,1.21619,0.00107023,0.00107023,0.00107023
16,8086.91,1.2315,1.51232,1.24109,0.53521,0.38017,0.39906,0.27655,1.2262,1.46866,1.21378,0.000774911,0.000774911,0.000774911
17,8545.05,1.22318,1.48592,1.23413,0.53779,0.38298,0.4029,0.27976,1.2236,1.46038,1.2117,0.000522683,0.000522683,0.000522683
18,9013.79,1.21587,1.46776,1.22964,0.5423,0.38317,0.40635,0.28235,1.22124,1.45281,1.20971,0.000319759,0.000319759,0.000319759
19,9494.06,1.20947,1.45225,1.22623,0.54685,0.38414,0.40946,0.28484,1.21904,1.44659,1.20792,0.000171135,0.000171135,0.000171135
20,9983.14,1.20535,1.44118,1.22261,0.54683,0.3875,0.41201,0.28685,1.21761,1.44108,1.20664,8.04714e-05,8.04714e-05,8.04714e-05
