layer_name,ratio,out_before,out_after,GMACs_before,GMACs_after,MParams_before,MParams_after
model.0.conv,0.056100,16,15,3.259475,3.249235,2.616248,2.615932
model.1.conv,0.041400,32,31,3.249235,3.244934,2.615932,2.615764
model.10.cv2.conv,0.059700,256,241,3.244934,3.238760,2.615764,2.606149
model.13.cv2.conv,0.086500,128,117,3.238760,3.228535,2.606149,2.601914
model.16.cv2.conv,0.111400,64,57,3.228535,3.187901,2.601914,2.592541
model.17.conv,0.130400,64,56,3.187901,3.179684,2.592541,2.587405
model.19.cv2.conv,0.088300,128,117,3.179684,3.159496,2.587405,2.565284
model.2.cv2.conv,0.027800,64,63,3.159496,3.154556,2.565284,2.564659
model.20.conv,0.125400,128,112,3.154556,3.146172,2.564659,2.543699
model.22.cv2.conv,0.091400,256,233,3.146172,3.136502,2.543699,2.519526
model.23.cv2.0.0.conv,0.131000,64,56,3.136502,3.080694,2.519526,2.510806
model.23.cv2.0.1.conv,0.133400,64,56,3.080694,3.051562,2.510806,2.506254
model.23.cv2.1.0.conv,0.112200,64,57,3.051562,3.033306,2.506254,2.494844
model.23.cv2.1.1.conv,0.105500,64,58,3.033306,3.027757,2.494844,2.491376
model.23.cv2.2.0.conv,0.078800,64,59,3.027757,3.022409,2.491376,2.478006
model.23.cv2.2.1.conv,0.064500,64,60,3.022409,3.021455,2.478006,2.475622
model.23.cv3.0.0.1.conv,0.145500,80,69,3.021455,3.011036,2.475622,2.473994
model.23.cv3.0.1.1.conv,0.146000,80,69,3.011036,3.000476,2.473994,2.472344
model.23.cv3.1.0.1.conv,0.134400,80,70,3.000476,2.997148,2.472344,2.470264
model.23.cv3.1.1.1.conv,0.135200,80,70,2.997148,2.994732,2.470264,2.468754
model.23.cv3.2.0.1.conv,0.093600,80,73,2.994732,2.993825,2.468754,2.466486
model.23.cv3.2.1.1.conv,0.095200,80,73,2.993825,2.993394,2.466486,2.465408
model.3.conv,0.026100,64,63,2.993394,2.989349,2.465408,2.464776
model.4.cv2.conv,0.033700,128,124,2.989349,2.977854,2.464776,2.459524
model.5.conv,0.027200,128,125,2.977854,2.971878,2.459524,2.455789
model.6.cv2.conv,0.030000,128,125,2.971878,2.967573,2.455789,2.447914
model.7.conv,0.033200,256,248,2.967573,2.963150,2.447914,2.436858
model.8.cv2.conv,0.034400,256,248,2.963150,2.961509,2.436858,2.432754
model.9.cv2.conv,0.038700,256,247,2.961509,2.958740,2.432754,2.425833
