epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,495.769,1.74168,3.53748,1.65201,0.5081,0.08119,0.04892,0.03114,1.54842,2.64283,1.47685,0.0350081,0.00166577,0.00166577
2,1003.26,1.43793,2.56112,1.37232,0.42069,0.22931,0.21415,0.14464,1.39068,1.99782,1.33141,0.0199878,0.00331212,0.00331212
3,1512.84,1.36077,2.12641,1.3113,0.4677,0.31502,0.31727,0.21342,1.33522,1.7134,1.28726,0.004887,0.00487799,0.00487799
4,2018.89,1.32135,1.93063,1.28629,0.52407,0.35636,0.3699,0.25171,1.28344,1.56268,1.25235,0.00473024,0.00473024,0.00473024
5,2525.38,1.29119,1.81708,1.26542,0.55027,0.37799,0.39698,0.27314,1.25225,1.49407,1.22617,0.00452732,0.00452732,0.00452732
6,3030.78,1.27098,1.75576,1.25229,0.57004,0.38594,0.41319,0.28468,1.23346,1.45052,1.21575,0.00427509,0.00427509,0.00427509
7,3540.4,1.25395,1.71271,1.2431,0.57689,0.39662,0.42469,0.29422,1.22086,1.41933,1.20586,0.00397977,0.00397977,0.00397977
8,4042.87,1.24156,1.67627,1.23482,0.57173,0.40545,0.43205,0.29989,1.21561,1.40251,1.20171,0.00364863,0.00364863,0.00364863
9,4518.75,1.23348,1.64472,1.22955,0.58294,0.40648,0.43818,0.30462,1.20975,1.38847,1.19786,0.00328982,0.00328982,0.00328982
10,4992.64,1.22267,1.6079,1.22181,0.5931,0.40662,0.44238,0.30766,1.20626,1.38103,1.19522,0.00291218,0.00291218,0.00291218
11,5463.9,1.25066,1.52328,1.24939,0.58718,0.41025,0.44569,0.31048,1.20187,1.37201,1.19249,0.002525,0.002525,0.002525
12,5938.88,1.23682,1.48558,1.2376,0.60465,0.40794,0.44894,0.31297,1.19929,1.36496,1.19051,0.00213782,0.00213782,0.00213782
13,6392.14,1.22616,1.45606,1.23126,0.60342,0.41052,0.45161,0.3152,1.19603,1.35851,1.18794,0.00176018,0.00176018,0.00176018
14,6840.58,1.21325,1.42398,1.22298,0.60335,0.41319,0.45376,0.31702,1.19358,1.35222,1.18582,0.00140137,0.00140137,0.00140137
15,7308.44,1.20327,1.39618,1.21584,0.58806,0.41642,0.45645,0.31905,1.19135,1.34643,1.18361,0.00107023,0.00107023,0.00107023
16,7775.45,1.19037,1.36951,1.20848,0.58652,0.42085,0.45881,0.32111,1.18974,1.34151,1.18227,0.000774911,0.000774911,0.000774911
17,8224.97,1.18344,1.3455,1.2024,0.58848,0.42508,0.46144,0.32309,1.18852,1.33685,1.18104,0.000522683,0.000522683,0.000522683
18,8671.31,1.17505,1.32768,1.19779,0.58631,0.43125,0.46377,0.32467,1.18728,1.33246,1.1798,0.000319759,0.000319759,0.000319759
19,9132.39,1.16896,1.31202,1.19465,0.58745,0.4334,0.4655,0.32603,1.18613,1.32888,1.1787,0.000171135,0.000171135,0.000171135
20,9598.43,1.16494,1.30199,1.19083,0.58634,0.43533,0.46681,0.32704,1.18507,1.32546,1.17777,8.04714e-05,8.04714e-05,8.04714e-05
