layer_name,ratio,out_before,out_after,GMACs_before,GMACs_after,MParams_before,MParams_after
model.0.conv,0.241200,16,13,3.259475,3.228755,2.616248,2.615300
model.1.conv,0.226400,32,25,3.228755,3.201875,2.615300,2.614250
model.10.cv2.conv,0.244800,256,194,3.201875,3.176356,2.614250,2.574508
model.13.cv2.conv,0.271600,128,94,3.176356,3.144750,2.574508,2.561418
model.16.cv2.conv,0.296400,64,46,3.144750,3.040263,2.561418,2.537316
model.17.conv,0.315400,64,44,3.040263,3.022887,2.537316,2.526456
model.19.cv2.conv,0.273300,128,94,3.022887,2.960490,2.526456,2.458082
model.2.cv2.conv,0.212800,64,51,2.960490,2.896260,2.458082,2.449957
model.20.conv,0.310400,128,89,2.896260,2.879053,2.449957,2.406940
model.22.cv2.conv,0.276500,256,186,2.879053,2.849625,2.406940,2.333370
model.23.cv2.0.0.conv,0.316000,64,44,2.849625,2.722777,2.333370,2.313550
model.23.cv2.0.1.conv,0.318500,64,44,2.722777,2.663769,2.313550,2.304330
model.23.cv2.1.0.conv,0.297300,64,45,2.663769,2.620510,2.304330,2.277293
model.23.cv2.1.1.conv,0.290600,64,46,2.620510,2.606974,2.277293,2.268833
model.23.cv2.2.0.conv,0.263900,64,48,2.606974,2.592568,2.268833,2.232817
model.23.cv2.2.1.conv,0.249600,64,49,2.592568,2.589586,2.232817,2.225362
model.23.cv3.0.0.1.conv,0.330500,80,54,2.589586,2.566789,2.225362,2.221800
model.23.cv3.0.1.1.conv,0.331000,80,54,2.566789,2.544325,2.221800,2.218290
model.23.cv3.1.0.1.conv,0.319500,80,55,2.544325,2.536925,2.218290,2.213665
model.23.cv3.1.1.1.conv,0.320200,80,55,2.536925,2.531485,2.213665,2.210265
model.23.cv3.2.0.1.conv,0.278600,80,58,2.531485,2.529047,2.210265,2.204171
model.23.cv3.2.1.1.conv,0.280300,80,58,2.529047,2.527824,2.204171,2.201113
model.3.conv,0.211200,64,51,2.527824,2.484227,2.201113,2.194301
model.4.cv2.conv,0.218900,128,100,2.484227,2.403766,2.194301,2.157537
model.5.conv,0.212300,128,101,2.403766,2.359314,2.157537,2.129754
model.6.cv2.conv,0.215100,128,101,2.359314,2.320563,2.129754,2.058879
model.7.conv,0.218300,256,201,2.320563,2.294911,2.058879,1.994749
model.8.cv2.conv,0.219500,256,200,2.294911,2.283420,1.994749,1.966021
model.9.cv2.conv,0.223800,256,199,2.283420,2.265887,1.966021,1.922188
