epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,496.218,1.74244,3.52829,1.64982,0.46752,0.07716,0.05133,0.0329,1.55228,2.67202,1.48538,0.0350081,0.00166577,0.00166577
2,1007.43,1.44193,2.6052,1.37912,0.37854,0.20174,0.17852,0.1209,1.39891,2.07402,1.34501,0.0199878,0.00331212,0.00331212
3,1518.49,1.36589,2.17478,1.31569,0.4829,0.29978,0.30211,0.20404,1.33237,1.7407,1.28698,0.004887,0.00487799,0.00487799
4,2028.43,1.32324,1.95125,1.28787,0.52673,0.35167,0.36851,0.25102,1.28495,1.57572,1.25309,0.00473024,0.00473024,0.00473024
5,2539.37,1.29274,1.83256,1.26685,0.55498,0.3672,0.39256,0.26957,1.25331,1.50026,1.22851,0.00452732,0.00452732,0.00452732
6,3050.92,1.27198,1.76826,1.25391,0.55551,0.39085,0.41455,0.2858,1.23461,1.45321,1.21616,0.00427509,0.00427509,0.00427509
7,3561.51,1.25513,1.72373,1.24441,0.57332,0.39503,0.4231,0.29305,1.22245,1.42637,1.20674,0.00397977,0.00397977,0.00397977
8,4072.84,1.24342,1.68621,1.23584,0.56945,0.40195,0.43114,0.29983,1.21525,1.40762,1.20175,0.00364863,0.00364863,0.00364863
9,4583.16,1.23447,1.655,1.23049,0.57577,0.40749,0.43721,0.30429,1.21012,1.39404,1.19813,0.00328982,0.00328982,0.00328982
10,5093.24,1.22394,1.62338,1.22388,0.58052,0.4089,0.44073,0.30662,1.20602,1.3848,1.19556,0.00291218,0.00291218,0.00291218
11,5584.56,1.25137,1.53215,1.25033,0.58167,0.41138,0.44416,0.31022,1.20257,1.37636,1.19359,0.002525,0.002525,0.002525
12,6076.11,1.23826,1.49263,1.2391,0.5882,0.41244,0.4475,0.3128,1.19948,1.36884,1.19131,0.00213782,0.00213782,0.00213782
13,6567.09,1.22578,1.45996,1.2312,0.58831,0.41537,0.45044,0.31496,1.1965,1.36132,1.18894,0.00176018,0.00176018,0.00176018
14,7058.85,1.21383,1.4281,1.22386,0.59579,0.41612,0.45325,0.31725,1.19405,1.35505,1.18701,0.00140137,0.00140137,0.00140137
15,7550.83,1.20408,1.40027,1.21685,0.59973,0.41932,0.45629,0.31935,1.19173,1.34925,1.18528,0.00107023,0.00107023,0.00107023
16,8042.85,1.19123,1.37413,1.20971,0.59838,0.42045,0.45897,0.32131,1.18983,1.34352,1.1836,0.000774911,0.000774911,0.000774911
17,8532.76,1.18373,1.34879,1.20284,0.59981,0.42049,0.46148,0.32315,1.18793,1.33812,1.18191,0.000522683,0.000522683,0.000522683
18,9022.24,1.17512,1.33139,1.1986,0.60065,0.42248,0.4637,0.32467,1.18671,1.33433,1.18091,0.000319759,0.000319759,0.000319759
19,9510.88,1.1696,1.31574,1.19539,0.60168,0.42325,0.46555,0.32597,1.18514,1.33049,1.17969,0.000171135,0.000171135,0.000171135
20,9999.53,1.16519,1.30559,1.1917,0.60133,0.42568,0.46708,0.32708,1.18416,1.32696,1.17881,8.04714e-05,8.04714e-05,8.04714e-05
