layer_name,ratio,out_before,out_after,GMACs_before,GMACs_after,MParams_before,MParams_after
model.0.conv,0.242100,16,13,3.259475,3.228755,2.616248,2.615300
model.1.conv,0.228000,32,25,3.228755,3.201875,2.615300,2.614250
model.10.cv2.conv,0.245500,256,194,3.201875,3.176356,2.614250,2.574508
model.13.cv2.conv,0.270900,128,94,3.176356,3.144750,2.574508,2.561418
model.16.cv2.conv,0.294500,64,46,3.144750,3.040263,2.561418,2.537316
model.17.conv,0.312500,64,44,3.040263,3.022887,2.537316,2.526456
model.19.cv2.conv,0.272600,128,94,3.022887,2.960490,2.526456,2.458082
model.2.cv2.conv,0.215100,64,51,2.960490,2.896260,2.458082,2.449957
model.20.conv,0.307800,128,89,2.896260,2.879053,2.449957,2.406940
model.22.cv2.conv,0.275600,256,186,2.879053,2.849625,2.406940,2.333370
model.23.cv2.0.0.conv,0.313100,64,44,2.849625,2.722777,2.333370,2.313550
model.23.cv2.0.1.conv,0.315400,64,44,2.722777,2.663769,2.313550,2.304330
model.23.cv2.1.0.conv,0.295300,64,46,2.663769,2.622787,2.304330,2.278716
model.23.cv2.1.1.conv,0.288900,64,46,2.622787,2.608992,2.278716,2.270094
model.23.cv2.2.0.conv,0.263600,64,48,2.608992,2.594585,2.270094,2.234078
model.23.cv2.2.1.conv,0.250000,64,48,2.594585,2.591404,2.234078,2.226126
model.23.cv3.0.0.1.conv,0.326800,80,54,2.591404,2.568608,2.226126,2.222564
model.23.cv3.0.1.1.conv,0.327300,80,54,2.568608,2.546144,2.222564,2.219054
model.23.cv3.1.0.1.conv,0.316300,80,55,2.546144,2.538744,2.219054,2.214429
model.23.cv3.1.1.1.conv,0.317000,80,55,2.538744,2.533304,2.214429,2.211029
model.23.cv3.2.0.1.conv,0.277600,80,58,2.533304,2.530866,2.211029,2.204935
model.23.cv3.2.1.1.conv,0.279100,80,58,2.530866,2.529643,2.204935,2.201877
model.3.conv,0.213600,64,51,2.529643,2.486046,2.201877,2.195065
model.4.cv2.conv,0.220800,128,100,2.486046,2.405585,2.195065,2.158301
model.5.conv,0.214600,128,101,2.405585,2.361132,2.158301,2.130518
model.6.cv2.conv,0.217300,128,101,2.361132,2.322382,2.130518,2.059643
model.7.conv,0.220300,256,200,2.322382,2.296264,2.059643,1.994347
model.8.cv2.conv,0.221400,256,200,2.296264,2.284772,1.994347,1.965619
model.9.cv2.conv,0.225500,256,199,2.284772,2.267239,1.965619,1.921786
