epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,518.245,1.78694,3.634,1.694,0.54482,0.06419,0.0415,0.02592,1.5844,2.76032,1.51953,0.0350081,0.00166577,0.00166577
2,1045.69,1.46936,2.70505,1.40448,0.29534,0.16777,0.12498,0.0833,1.43543,2.2273,1.38288,0.0199878,0.00331212,0.00331212
3,1574.61,1.39168,2.3208,1.34164,0.3799,0.2418,0.2181,0.14536,1.36937,1.92598,1.32452,0.004887,0.00487799,0.00487799
4,2103.08,1.34914,2.1008,1.30995,0.44743,0.29515,0.2932,0.19726,1.31404,1.73139,1.28015,0.00473024,0.00473024,0.00473024
5,2632.31,1.31517,1.95177,1.28568,0.50412,0.32829,0.34293,0.233,1.27663,1.60994,1.25003,0.00452732,0.00452732,0.00452732
6,3161.1,1.29062,1.86078,1.26916,0.51363,0.36313,0.37272,0.25518,1.25189,1.53441,1.23059,0.00427509,0.00427509,0.00427509
7,3689.07,1.27137,1.79684,1.25624,0.52105,0.37975,0.39349,0.27024,1.23632,1.48591,1.21811,0.00397977,0.00397977,0.00397977
8,4221.62,1.2575,1.74862,1.24633,0.55366,0.38264,0.40604,0.2788,1.22881,1.46102,1.21321,0.00364863,0.00364863,0.00364863
9,4752.1,1.24736,1.70995,1.24039,0.55052,0.39083,0.4134,0.28472,1.22221,1.44422,1.20878,0.00328982,0.00328982,0.00328982
10,5284.13,1.23642,1.67455,1.23297,0.55748,0.39382,0.419,0.28836,1.2176,1.43253,1.2057,0.00291218,0.00291218,0.00291218
11,5792.34,1.26378,1.58022,1.26073,0.55883,0.39942,0.42386,0.2924,1.21315,1.41971,1.20224,0.002525,0.002525,0.002525
12,6299.31,1.25001,1.53704,1.24907,0.56188,0.40269,0.4283,0.29606,1.20996,1.40965,1.20001,0.00213782,0.00213782,0.00213782
13,6806.51,1.23816,1.49954,1.24071,0.56541,0.40475,0.43238,0.29941,1.20659,1.40023,1.19745,0.00176018,0.00176018,0.00176018
14,7314.59,1.22439,1.46768,1.23216,0.55215,0.40994,0.43624,0.30247,1.20333,1.39161,1.19505,0.00140137,0.00140137,0.00140137
15,7819.63,1.21448,1.43808,1.2254,0.56056,0.41088,0.44055,0.30595,1.20088,1.38419,1.19294,0.00107023,0.00107023,0.00107023
16,8327.2,1.20114,1.41122,1.21796,0.56419,0.41272,0.44437,0.30854,1.19893,1.37745,1.19149,0.000774911,0.000774911,0.000774911
17,8829.66,1.19374,1.38698,1.21161,0.572,0.41331,0.44726,0.31126,1.19718,1.37063,1.18997,0.000522683,0.000522683,0.000522683
18,9335.37,1.18614,1.36803,1.20754,0.56587,0.41845,0.44983,0.31361,1.19582,1.36446,1.18869,0.000319759,0.000319759,0.000319759
19,9839.67,1.1798,1.35134,1.20374,0.57934,0.41617,0.45199,0.3154,1.19419,1.35898,1.18738,0.000171135,0.000171135,0.000171135
20,10344.1,1.17634,1.34171,1.20038,0.5895,0.4166,0.45412,0.31706,1.19329,1.35438,1.1862,8.04714e-05,8.04714e-05,8.04714e-05
