layer_name,ratio,out_before,out_after,GMACs_before,GMACs_after,MParams_before,MParams_after
model.0.conv,0.234800,16,13,3.259475,3.228755,2.616248,2.615300
model.1.conv,0.214200,32,26,3.228755,3.205715,2.615300,2.614400
model.10.cv2.conv,0.239800,256,195,3.205715,3.180608,2.614400,2.575299
model.13.cv2.conv,0.277100,128,93,3.180608,3.148072,2.575299,2.561824
model.16.cv2.conv,0.311700,64,45,3.148072,3.037780,2.561824,2.536383
model.17.conv,0.338100,64,43,3.037780,3.019838,2.536383,2.525169
model.19.cv2.conv,0.279500,128,93,3.019838,2.955606,2.525169,2.454784
model.2.cv2.conv,0.195300,64,52,2.955606,2.896316,2.454784,2.447284
model.20.conv,0.331200,128,86,2.896316,2.877937,2.447284,2.401336
model.22.cv2.conv,0.284000,256,184,2.877937,2.847668,2.401336,2.325664
model.23.cv2.0.0.conv,0.338900,64,43,2.847668,2.715688,2.325664,2.305042
model.23.cv2.0.1.conv,0.342400,64,43,2.715688,2.654939,2.305042,2.295550
model.23.cv2.1.0.conv,0.312900,64,44,2.654939,2.609691,2.295550,2.267270
model.23.cv2.1.1.conv,0.303500,64,45,2.609691,2.595676,2.267270,2.258511
model.23.cv2.2.0.conv,0.266400,64,47,2.595676,2.580492,2.258511,2.220550
model.23.cv2.2.1.conv,0.246500,64,49,2.580492,2.577564,2.220550,2.213230
model.23.cv3.0.0.1.conv,0.359200,80,52,2.577564,2.553193,2.213230,2.209422
model.23.cv3.0.1.1.conv,0.359800,80,52,2.553193,2.529359,2.209422,2.205698
model.23.cv3.1.0.1.conv,0.343700,80,53,2.529359,2.521410,2.205698,2.200730
model.23.cv3.1.1.1.conv,0.344800,80,53,2.521410,2.515622,2.200730,2.197112
model.23.cv3.2.0.1.conv,0.286900,80,58,2.515622,2.513202,2.197112,2.191062
model.23.cv3.2.1.1.conv,0.289200,80,57,2.513202,2.511923,2.191062,2.187865
model.3.conv,0.193000,64,52,2.511923,2.470988,2.187865,2.181469
model.4.cv2.conv,0.203700,128,102,2.470988,2.396275,2.181469,2.147331
model.5.conv,0.194600,128,104,2.396275,2.356070,2.147331,2.122203
model.6.cv2.conv,0.198500,128,103,2.356070,2.320190,2.122203,2.056578
model.7.conv,0.202900,256,205,2.320190,2.296036,2.056578,1.996194
model.8.cv2.conv,0.204500,256,204,2.296036,2.285366,1.996194,1.969518
model.9.cv2.conv,0.210500,256,203,2.285366,2.269063,1.969518,1.928761
