layer_name,ratio,out_before,out_after,GMACs_before,GMACs_after,MParams_before,MParams_after
model.0.conv,0.244800,16,13,3.259475,3.228755,2.616248,2.615300
model.1.conv,0.233600,32,25,3.228755,3.201875,2.615300,2.614250
model.10.cv2.conv,0.247600,256,193,3.201875,3.175944,2.614250,2.573867
model.13.cv2.conv,0.268000,128,94,3.175944,3.144338,2.573867,2.560777
model.16.cv2.conv,0.287000,64,46,3.144338,3.039852,2.560777,2.536675
model.17.conv,0.301400,64,45,3.039852,3.023344,2.536675,2.526358
model.19.cv2.conv,0.269300,128,94,3.023344,2.960948,2.526358,2.457984
model.2.cv2.conv,0.223200,64,50,2.960948,2.891776,2.457984,2.449234
model.20.conv,0.297600,128,90,2.891776,2.875011,2.449234,2.407320
model.22.cv2.conv,0.271800,256,187,2.875011,2.846003,2.407320,2.334801
model.23.cv2.0.0.conv,0.301900,64,45,2.846003,2.725498,2.334801,2.315972
model.23.cv2.0.1.conv,0.303700,64,45,2.725498,2.668346,2.315972,2.307042
model.23.cv2.1.0.conv,0.287600,64,46,2.668346,2.627363,2.307042,2.281428
model.23.cv2.1.1.conv,0.282500,64,46,2.627363,2.613568,2.281428,2.272806
model.23.cv2.2.0.conv,0.262100,64,48,2.613568,2.599104,2.272806,2.236646
model.23.cv2.2.1.conv,0.251300,64,48,2.599104,2.595923,2.236646,2.228694
model.23.cv3.0.0.1.conv,0.312900,80,55,2.595923,2.574003,2.228694,2.225269
model.23.cv3.0.1.1.conv,0.313300,80,55,2.574003,2.552243,2.225269,2.221869
model.23.cv3.1.0.1.conv,0.304500,80,56,2.552243,2.545139,2.221869,2.217429
model.23.cv3.1.1.1.conv,0.305100,80,56,2.545139,2.539878,2.217429,2.214141
model.23.cv3.2.0.1.conv,0.273400,80,59,2.539878,2.537543,2.214141,2.208303
model.23.cv3.2.1.1.conv,0.274600,80,59,2.537543,2.536367,2.208303,2.205363
model.3.conv,0.222000,64,50,2.536367,2.490223,2.205363,2.198153
model.4.cv2.conv,0.227800,128,99,2.490223,2.406889,2.198153,2.160076
model.5.conv,0.222800,128,100,2.406889,2.361193,2.160076,2.131516
model.6.cv2.conv,0.225000,128,100,2.361193,2.321007,2.131516,2.058016
model.7.conv,0.227400,256,198,2.321007,2.294165,2.058016,1.990910
model.8.cv2.conv,0.228300,256,198,2.294165,2.282263,1.990910,1.961156
model.9.cv2.conv,0.231500,256,197,2.282263,2.264115,1.961156,1.915785
