epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,492.249,1.74355,3.57262,1.6553,0.46812,0.07794,0.04643,0.02947,1.54935,2.67589,1.47826,0.0350081,0.00166577,0.00166577
2,995.746,1.43847,2.59044,1.37533,0.39987,0.21134,0.19481,0.13081,1.39403,2.02801,1.33704,0.0199878,0.00331212,0.00331212
3,1502.19,1.36143,2.14746,1.31283,0.48334,0.31079,0.31295,0.21064,1.33272,1.71829,1.28319,0.004887,0.00487799,0.00487799
4,2008.17,1.32116,1.93533,1.28519,0.5282,0.35299,0.37114,0.2525,1.28249,1.56431,1.24776,0.00473024,0.00473024,0.00473024
5,2511.92,1.28956,1.81922,1.265,0.54699,0.37801,0.39838,0.27338,1.25059,1.49141,1.22832,0.00452732,0.00452732,0.00452732
6,3017.7,1.26894,1.75495,1.25194,0.55221,0.39522,0.41397,0.28541,1.23318,1.44798,1.21553,0.00427509,0.00427509,0.00427509
7,3523.71,1.25296,1.70733,1.24269,0.56309,0.40299,0.42548,0.29512,1.22189,1.41936,1.20717,0.00397977,0.00397977,0.00397977
8,4025.95,1.24083,1.6691,1.23418,0.58583,0.40066,0.43306,0.30108,1.21409,1.4,1.20163,0.00364863,0.00364863,0.00364863
9,4530.64,1.23215,1.63752,1.22895,0.59067,0.4084,0.43953,0.30636,1.20825,1.3856,1.19743,0.00328982,0.00328982,0.00328982
10,5036.44,1.22125,1.60468,1.22149,0.58864,0.41342,0.44376,0.30958,1.20511,1.37625,1.19487,0.00291218,0.00291218,0.00291218
11,5524.84,1.24971,1.52347,1.24931,0.58226,0.41672,0.44661,0.31213,1.20128,1.3682,1.19206,0.002525,0.002525,0.002525
12,6011.15,1.23692,1.48634,1.23806,0.59042,0.4161,0.44992,0.31466,1.19823,1.36066,1.18975,0.00213782,0.00213782,0.00213782
13,6495.97,1.22524,1.45371,1.22996,0.5901,0.42035,0.45269,0.31702,1.19568,1.35416,1.18739,0.00176018,0.00176018,0.00176018
14,6983.3,1.21266,1.4248,1.2226,0.60279,0.41894,0.45519,0.31873,1.19313,1.34887,1.18534,0.00140137,0.00140137,0.00140137
15,7467.43,1.20288,1.39582,1.21583,0.60182,0.42305,0.45779,0.32091,1.19061,1.34333,1.18334,0.00107023,0.00107023,0.00107023
16,7950.81,1.19061,1.36951,1.2086,0.59825,0.42474,0.46017,0.32241,1.1887,1.33726,1.18162,0.000774911,0.000774911,0.000774911
17,8438.23,1.18316,1.34536,1.20208,0.60611,0.42413,0.46206,0.32383,1.1869,1.33232,1.18001,0.000522683,0.000522683,0.000522683
18,8922.43,1.17455,1.32796,1.19776,0.59807,0.4308,0.46408,0.32518,1.18537,1.32869,1.1786,0.000319759,0.000319759,0.000319759
19,9406.36,1.16842,1.31209,1.1943,0.59916,0.4318,0.466,0.32653,1.18386,1.32525,1.17747,0.000171135,0.000171135,0.000171135
20,9888.93,1.1647,1.30225,1.19067,0.6037,0.43167,0.46732,0.32768,1.18296,1.32229,1.17654,8.04714e-05,8.04714e-05,8.04714e-05
